,,max_diff,max,min,std_dev,mean,rel_maxdiff(%)
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class 0,0.07258,0.08449,0.01190,0.02059,0.03861,188.0
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class 1,0.04307,0.09062,0.04755,0.01304,0.06760,63.71
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class 2,0.02145,0.02836,0.006912,0.004846,0.01754,122.3
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class 3,0.04505,0.04523,0.0001705,0.01109,0.007922,568.7
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class 4,0.05291,0.05392,0.001010,0.01288,0.01880,281.5
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class 5,0.03224,0.04469,0.01245,0.009306,0.02856,112.9
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class 6,0.03261,0.07500,0.04239,0.007440,0.05481,59.50
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class 7,0.05433,0.05561,0.001282,0.01410,0.02558,212.4
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class 8,0.05500,0.07313,0.01814,0.01420,0.04223,130.2
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class 9,0.01988,0.02009,0.0002194,0.006385,0.008379,237.2
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class10,0.05617,0.05793,0.001767,0.01738,0.03751,149.7
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class11,0.02615,0.02897,0.002823,0.006677,0.01549,168.8
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class12,0.03678,0.04074,0.003968,0.009276,0.02702,136.1
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class13,0.07710,0.1327,0.05556,0.02090,0.09731,79.23
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class14,0.01683,0.02569,0.008858,0.004051,0.01580,106.6
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class15,0.02636,0.04172,0.01536,0.006105,0.03216,81.95
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class16,0.04791,0.2573,0.2094,0.01152,0.2330,20.56
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class17,0.03559,0.03559,0,0.009747,0.01365,260.7
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class18,0.05153,0.06256,0.01103,0.01554,0.03597,143.3
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class19,0.1420,0.2133,0.07130,0.03290,0.1749,81.20
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class20,0.1488,0.1705,0.02165,0.03145,0.08573,173.6
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class21,0.03257,0.09787,0.06530,0.008285,0.07932,41.06
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class22,0.09034,0.09176,0.001429,0.02130,0.01618,558.5
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class23,0.06750,0.1178,0.05029,0.01630,0.1009,66.91
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class24,0.1449,0.1774,0.03251,0.03582,0.09479,152.8
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class25,0.3333,0.5,0.1667,0.07556,0.2871,116.1
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class26,0.02597,0.04432,0.01835,0.007986,0.03163,82.11
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class27,0.05850,0.1292,0.07070,0.01403,0.08709,67.17
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class28,0.02088,0.05012,0.02924,0.005331,0.04023,51.90
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class29,0.07447,0.1161,0.04167,0.01757,0.08983,82.90
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class30,0.03108,0.03295,0.001872,0.006588,0.01646,188.8
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class31,0.1193,0.1619,0.04260,0.02615,0.1225,97.34
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class32,0.1833,0.1885,0.005172,0.03914,0.1256,146.0
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class33,0.02749,0.1706,0.1431,0.009120,0.1558,17.65
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class34,0.02993,0.03011,0.0001842,0.008842,0.01066,280.7
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class35,0.02395,0.06872,0.04477,0.007076,0.05825,41.11
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class36,0.03898,0.04167,0.002688,0.01212,0.02189,178.0
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class37,0.04403,0.07180,0.02778,0.009445,0.05725,76.90
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class38,0.06190,0.06667,0.004762,0.01498,0.06280,98.58
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class39,0.04266,0.04285,0.0001930,0.01110,0.02509,170.1
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class40,0.05074,0.1384,0.08766,0.01228,0.1112,45.65
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class41,0.01699,0.01868,0.001684,0.003935,0.007947,213.8
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class42,0.02421,0.02446,0.0002560,0.006820,0.01098,220.5
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class43,0,0,0,0,0,0
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class44,0.5,0.5,0,0.1663,0.4062,123.1
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class45,0.03618,0.07071,0.03453,0.009363,0.05727,63.17
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class46,0.06084,0.06441,0.003571,0.01904,0.03167,192.1
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class47,0.04333,0.04982,0.006487,0.01060,0.02143,202.2
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class48,0.05902,0.05966,0.0006378,0.01686,0.01624,363.4
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class49,0.1288,0.1462,0.01739,0.03788,0.06078,211.8
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class50,0.03471,0.03493,0.0002163,0.01052,0.01446,240.1
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class51,0.02392,0.1757,0.1518,0.006122,0.1640,14.59
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class52,0.01453,0.03498,0.02045,0.004145,0.02781,52.27
