,,max_diff,max,min,std_dev,mean,rel_maxdiff(%)
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class 0,0.1429,0.6667,0.5238,0.04012,0.6163,23.18
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class 1,0.06871,0.7708,0.7021,0.02076,0.7394,9.292
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class 2,0.06087,0.3455,0.2846,0.01377,0.3152,19.31
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class 3,0.1659,0.2362,0.07031,0.03950,0.1086,152.7
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class 4,0.2504,0.4062,0.1558,0.05793,0.2892,86.58
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class 5,0.07316,0.5299,0.4567,0.02104,0.4938,14.81
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class 6,0.1154,0.1758,0.06044,0.02634,0.1332,86.66
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class 7,0.1498,0.6400,0.4902,0.03985,0.5625,26.63
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class 8,0.08974,0.7667,0.6769,0.02306,0.7285,12.32
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class 9,0.09146,0.5068,0.4154,0.02471,0.4665,19.61
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class10,0.1664,0.4894,0.3229,0.04905,0.3795,43.86
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class11,0.05911,0.5258,0.4667,0.01513,0.4957,11.92
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class12,0.09289,0.4565,0.3636,0.02333,0.4228,21.97
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class13,0.2194,0.4194,0.2000,0.05850,0.3238,67.75
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class14,0.04825,0.3309,0.2826,0.01160,0.3113,15.50
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class15,0.05964,0.5253,0.4656,0.01379,0.5040,11.83
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class16,0.1044,0.5750,0.4706,0.02508,0.5235,19.94
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class17,0.1767,0.4267,0.25,0.04600,0.3347,52.79
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class18,0.1454,0.3913,0.2459,0.04372,0.3229,45.03
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class19,0.3571,0.3571,0,0.08662,0.07575,471.4
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class20,0.3167,0.4000,0.08333,0.08595,0.1549,204.4
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class21,0.1104,0.2133,0.1029,0.02790,0.1670,66.10
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class22,0.2500,0.5500,0.3000,0.05791,0.4997,50.03
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class23,0.1732,0.4825,0.3093,0.04160,0.4414,39.23
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class24,0.3684,0.5789,0.2105,0.09193,0.3847,95.77
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class25,0.8000,0.8000,0,0.1790,0.3668,218.1
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class26,0.05690,0.5479,0.4910,0.01754,0.5191,10.96
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class27,0.1179,0.6379,0.5200,0.02816,0.6063,19.45
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class28,0.06594,0.2554,0.1894,0.01685,0.2246,29.36
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class29,0.3462,0.3462,0,0.06913,0.1903,181.9
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class30,0.06551,0.5805,0.5150,0.01388,0.5504,11.90
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class31,0.3493,0.4545,0.1053,0.07675,0.2332,149.8
