,,max_diff,max,min,std_dev,mean,rel_maxdiff(%)
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class 0,0.006065,0.008785,0.002720,0.001363,0.004528,133.9
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class 1,0.004061,0.01238,0.008323,0.001055,0.01018,39.89
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class 2,0.01671,0.04825,0.03154,0.003892,0.04079,40.97
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class 3,0.01517,0.01873,0.003553,0.003600,0.008986,168.9
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class 4,0.01503,0.02069,0.005653,0.003431,0.01267,118.7
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class 5,0.01047,0.03039,0.01991,0.003029,0.02494,42.00
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class 6,0.01586,0.02667,0.01081,0.003773,0.01497,105.9
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class 7,0.004748,0.01572,0.01097,0.001421,0.01230,38.60
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class 8,0.005544,0.03382,0.02828,0.001841,0.03081,17.99
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class 9,0.006776,0.02257,0.01580,0.001656,0.01902,35.63
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class10,0.008144,0.008197,0.00005258,0.001989,0.002631,309.6
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class11,0.01045,0.02726,0.01681,0.002901,0.01907,54.81
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class12,0.003369,0.009500,0.006131,0.0009295,0.008275,40.71
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class13,0.007373,0.01005,0.002681,0.001690,0.005781,127.5
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class14,0.02673,0.1262,0.09946,0.006654,0.1143,23.39
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class15,0.01327,0.06069,0.04742,0.003646,0.05528,24.01
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class16,0.004706,0.01679,0.01208,0.001343,0.01507,31.23
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class17,0.01091,0.02427,0.01336,0.002486,0.01917,56.94
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class18,0.01163,0.01659,0.004968,0.003077,0.008878,131.0
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class19,0.006077,0.006122,0.00004474,0.001470,0.001173,518.2
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class20,0.004009,0.004012,0.000002686,0.0009871,0.0007110,563.8
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class21,0.005536,0.007983,0.002446,0.001459,0.005155,107.4
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class22,0.001990,0.001999,0.000008135,0.0004720,0.001017,195.7
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class23,0.01511,0.03793,0.02282,0.003560,0.03350,45.09
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class24,0.004696,0.008057,0.003361,0.001277,0.005667,82.87
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class25,0.002667,0.002668,0.000001336,0.0006336,0.001208,220.8
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class26,0.02176,0.07025,0.04849,0.005617,0.05645,38.55
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class27,0.008191,0.01794,0.009749,0.001915,0.01468,55.82
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class28,0.01565,0.05233,0.03668,0.004522,0.04471,35.01
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class29,0.004675,0.004688,0.00001355,0.001005,0.003014,155.1
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class30,0.02273,0.07775,0.05502,0.004770,0.07062,32.18
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class31,0.004665,0.004685,0.00001994,0.001025,0.002922,159.6
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class32,0.01013,0.01019,0.00006118,0.002349,0.001997,507.2
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class33,0.009078,0.01182,0.002743,0.002817,0.007065,128.5
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class34,0.007520,0.008269,0.0007487,0.001635,0.004650,161.7
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class35,0.01195,0.04943,0.03748,0.003099,0.04310,27.71
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class36,0.009602,0.01661,0.007004,0.002401,0.01111,86.40
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class37,0.008054,0.03095,0.02289,0.001903,0.02571,31.33
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class38,0.002698,0.003371,0.0006729,0.0006945,0.001851,145.7
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class39,0.008177,0.01074,0.002561,0.002442,0.005912,138.3
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class40,0.01555,0.02179,0.006234,0.004326,0.01666,93.36
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class41,0.01527,0.1085,0.09322,0.003799,0.1014,15.06
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class42,0.004084,0.008806,0.004722,0.001102,0.007062,57.83
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class43,0.0006676,0.0006676,0,0.0003338,0.0003338,200.0
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class44,0.0006671,0.0006671,0,0.0002604,0.0001251,533.3
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class45,0.005452,0.01992,0.01447,0.001603,0.01701,32.05
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class46,0.007485,0.01703,0.009542,0.002115,0.01323,56.58
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class47,0.008074,0.04374,0.03567,0.002402,0.04010,20.13
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class48,0.004713,0.006073,0.001360,0.001225,0.003423,137.7
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class49,0.003356,0.004048,0.0006922,0.001040,0.002579,130.1
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class50,0.01663,0.05527,0.03864,0.004475,0.04791,34.71
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class51,0.02112,0.06989,0.04877,0.006498,0.06210,34.01
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class52,0.03217,0.1174,0.08526,0.008709,0.1067,30.14
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class53,0.006789,0.01497,0.008178,0.002181,0.01111,61.11
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class54,0.003305,0.003337,0.00003168,0.001136,0.001793,184.4
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class55,0.006689,0.008699,0.002010,0.001654,0.004976,134.4
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class56,0.009616,0.02642,0.01680,0.002678,0.02052,46.85
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class57,0.01113,0.02416,0.01303,0.002532,0.01842,60.42
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class58,0.007576,0.03398,0.02641,0.002059,0.03032,24.99
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class59,0.008787,0.02186,0.01308,0.002112,0.01683,52.20
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class60,0.003363,0.003378,0.00001447,0.0009401,0.001566,214.8
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class61,0.01596,0.07706,0.06110,0.003819,0.07179,22.23
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class62,0.008810,0.01356,0.004751,0.002250,0.007586,116.1
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class63,0.02151,0.03489,0.01338,0.005409,0.02899,74.20
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class64,0.01649,0.09862,0.08213,0.003891,0.09278,17.77
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class65,0.01669,0.03041,0.01372,0.004074,0.02442,68.33
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class66,0.01181,0.01909,0.007280,0.003272,0.01221,96.71
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class67,0.004968,0.02357,0.01860,0.001609,0.02052,24.21
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class68,0.008778,0.01161,0.002830,0.002074,0.006937,126.5
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class69,0.005740,0.01822,0.01248,0.001695,0.01537,37.35
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class70,0.006034,0.008055,0.002021,0.001642,0.003739,161.4
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class71,0.01127,0.01577,0.004499,0.002991,0.008478,132.9
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class72,0.002007,0.002018,0.00001115,0.0006984,0.0009234,217.3
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class73,0.01028,0.01312,0.002841,0.002454,0.009488,108.3
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class74,0.01054,0.03180,0.02126,0.002518,0.02501,42.15
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class75,0.01585,0.03999,0.02413,0.003605,0.03235,49.01
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class76,0.01023,0.02908,0.01884,0.002637,0.02264,45.19
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class77,0.01386,0.02306,0.009197,0.004054,0.01786,77.63
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class78,0.01233,0.04275,0.03042,0.003319,0.03514,35.10
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,overall,0.001109,0.02236,0.02126,0.0002933,0.02190,5.062
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv5/,class 0,0.003359,0.008101,0.004742,0.0009199,0.006463,51.98
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv5/,class 1,0.01223,0.01512,0.002889,0.002870,0.008224,148.7
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv5/,class 2,0.02814,0.06773,0.03959,0.006250,0.05148,54.66
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv5/,class 3,0.01236,0.01250,0.0001400,0.003106,0.004249,291.0
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv5/,class 4,0.009587,0.01861,0.009024,0.003239,0.01374,69.78
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv5/,class 5,0.009832,0.02487,0.01504,0.002796,0.01969,49.94
