,,max_diff,max,min,std_dev,mean,rel_maxdiff(%)
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class 0,0.3000,0.3125,0.01250,0.1078,0.1516,197.9
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class 1,0.03226,0.5419,0.5097,0.01613,0.5258,6.135
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class 2,0.02687,0.02730,0.0004348,0.007909,0.01022,262.8
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class 3,0.06629,0.07576,0.009470,0.01694,0.03243,204.4
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class 4,0.1432,0.1618,0.01857,0.03514,0.1185,120.8
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class 5,0.06599,0.07315,0.007164,0.01869,0.03493,188.9
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class 6,0.01308,0.01710,0.004018,0.005011,0.01132,115.6
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class 7,0.07143,0.08117,0.009740,0.02569,0.04424,161.5
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class 8,0.1245,0.1270,0.002442,0.02882,0.02053,606.7
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class 9,0.1286,0.1929,0.06429,0.02957,0.1253,102.6
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class10,0.06988,0.2529,0.1830,0.01623,0.2311,30.25
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class11,0.07407,0.07630,0.002222,0.02171,0.03356,220.7
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class12,0.1497,0.3102,0.1604,0.04055,0.2383,62.83
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class13,0,0.125,0.125,0,0.125,0
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class14,0.04074,0.05916,0.01843,0.01126,0.04389,92.81
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class15,0.04365,0.04762,0.003968,0.01548,0.03447,126.6
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class16,0.1667,0.1833,0.01667,0.04877,0.05417,307.7
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class17,0.1111,0.2444,0.1333,0.03048,0.1868,59.48
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class18,0.06452,0.07527,0.01075,0.02300,0.03763,171.4
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class19,0.1176,0.3897,0.2721,0.02848,0.3824,30.77
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class20,0.1667,0.3333,0.1667,0.04034,0.3229,51.61
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class21,0.02424,0.02424,0,0.007642,0.01402,173.0
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class22,0.05882,0.05882,0,0.01424,0.003676,1600
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class23,0.09476,0.1823,0.08751,0.02875,0.1298,72.98
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class24,0.1111,0.1444,0.03333,0.05046,0.1000,111.1
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class25,0,0,0,0,0,0
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class26,0.06306,0.1054,0.04230,0.01681,0.07357,85.72
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class27,0.1553,0.2689,0.1136,0.04232,0.1655,93.85
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class28,0.04111,0.06958,0.02846,0.01099,0.04325,95.06
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class29,0.1818,0.1888,0.006993,0.03766,0.08086,224.9
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class30,0.03158,0.05314,0.02156,0.01072,0.03566,88.56
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class31,0.02778,0.03889,0.01111,0.006724,0.03715,74.77
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class32,0.2053,0.3316,0.1263,0.04872,0.2576,79.69
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class33,0.07956,0.1283,0.04878,0.02243,0.07832,101.6
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class34,0.1212,0.1247,0.003529,0.03661,0.07118,170.2
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class35,0.07681,0.1261,0.04933,0.01971,0.06809,112.8
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class36,0.04762,0.04762,0,0.01568,0.02232,213.3
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class37,0.04000,0.04727,0.007273,0.008872,0.03080,129.9
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class38,0.07143,0.5,0.4286,0.03311,0.4509,15.84
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class39,0.1720,0.2059,0.03391,0.04415,0.1212,141.9
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class40,0.06061,0.2273,0.1667,0.01959,0.1899,31.92
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class41,0.02839,0.03032,0.001928,0.008811,0.01033,274.8
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class42,0.09583,0.3854,0.2896,0.02389,0.3445,27.82
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class43,0,0.5,0.5,0,0.5,0
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class44,0,0,0,0,0,0
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class45,0.1468,0.1627,0.01587,0.05025,0.08383,175.1
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class46,0.4583,0.4583,0,0.1146,0.3854,118.9
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class47,0.08000,0.1386,0.05862,0.02139,0.09358,85.49
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class48,0.1765,0.2196,0.04314,0.04011,0.1424,123.9
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class49,0.3333,0.3333,0,0.08700,0.2240,148.8
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class50,0.1474,0.1507,0.003337,0.03644,0.04036,365.2
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class51,0.09653,0.09925,0.002725,0.01974,0.06006,160.7
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class52,0.07214,0.1150,0.04282,0.01704,0.06718,107.4
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class53,0.1571,0.2179,0.06090,0.04271,0.1322,118.8
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class54,0.1412,0.2824,0.1412,0.05345,0.1937,72.87
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class55,0.25,0.25,0,0.1240,0.1406,177.8
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class56,0.1641,0.1744,0.01026,0.03976,0.05128,320.0
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class57,0.05263,0.1006,0.04799,0.01378,0.07058,74.57
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class58,0.1019,0.1419,0.03998,0.02723,0.07457,136.7
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class59,0.02747,0.03760,0.01013,0.007731,0.02238,122.8
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class60,0.03030,0.04848,0.01818,0.01312,0.04091,74.07
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class61,0.05804,0.08662,0.02858,0.01742,0.05132,113.1
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class62,0.1364,0.1364,0,0.03409,0.04924,276.9
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class63,0.04555,0.04622,0.0006758,0.01217,0.01586,287.3
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class64,0.05516,0.08105,0.02590,0.01527,0.05982,92.21
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class65,0.1563,0.1783,0.02205,0.04031,0.1327,117.8
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class66,0.1227,0.1379,0.01520,0.03448,0.06874,178.4
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class67,0.06473,0.07589,0.01116,0.02070,0.05106,126.8
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class68,0.3333,0.4444,0.1111,0.08982,0.2812,118.5
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class69,0.02532,0.08861,0.06329,0.007588,0.08386,30.19
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class70,0.1429,0.2063,0.06349,0.04712,0.08333,171.4
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class71,0.06577,0.1137,0.04794,0.01552,0.07219,91.12
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class72,0,0,0,0,0,0
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class73,0.1166,0.2681,0.1515,0.03266,0.2260,51.58
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class74,0.06667,0.06667,0,0.02248,0.03000,222.2
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class75,0.09697,0.2061,0.1091,0.02751,0.1553,62.44
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class76,0.04225,0.4718,0.4296,0.01165,0.4586,9.213
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class77,0.09217,0.1380,0.04585,0.02232,0.08458,109.0
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class78,0.1032,0.2368,0.1336,0.03371,0.1773,58.24
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,overall,0.01094,0.1253,0.1144,0.003294,0.1202,9.099
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv5/,class 0,0.125,0.3125,0.1875,0.03807,0.2227,56.14
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv5/,class 1,0.06452,0.6065,0.5419,0.02245,0.5782,11.16
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv5/,class 2,0.04061,0.05478,0.01417,0.01066,0.03070,132.3
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv5/,class 3,0.04735,0.05682,0.009470,0.01262,0.02841,166.7
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv5/,class 4,0.1353,0.1362,0.0008842,0.03270,0.03548,381.3
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv5/,class 5,0.06976,0.07315,0.003394,0.02059,0.04178,166.9
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv5/,class 6,0.06064,0.06548,0.004832,0.01476,0.02996,202.4
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv5/,class 7,0.1818,0.1883,0.006494,0.05002,0.08340,218.0
