,,max_diff,max,min,std_dev,mean,rel_maxdiff(%)
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class 0,0.003011,0.004362,0.001351,0.0006765,0.002248,133.9
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class 1,0.002006,0.006117,0.004111,0.0005210,0.005029,39.89
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class 2,0.007750,0.02238,0.01463,0.001805,0.01892,40.97
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class 3,0.007354,0.009077,0.001722,0.001745,0.004355,168.9
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class 4,0.007347,0.01011,0.002762,0.001677,0.006191,118.7
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class 5,0.005050,0.01465,0.009601,0.001460,0.01202,42.00
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class 6,0.007199,0.01210,0.004905,0.001712,0.006795,105.9
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class 7,0.002343,0.007757,0.005414,0.0007011,0.006070,38.60
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class 8,0.002701,0.01648,0.01378,0.0008967,0.01501,17.99
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class 9,0.003339,0.01112,0.007785,0.0008162,0.009372,35.63
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class10,0.003926,0.003952,0.00002535,0.0009591,0.001268,309.6
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class11,0.005092,0.01328,0.008189,0.001413,0.009290,54.81
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class12,0.001669,0.004706,0.003037,0.0004604,0.004099,40.71
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class13,0.003667,0.005000,0.001333,0.0008406,0.002875,127.5
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class14,0.01145,0.05407,0.04261,0.002851,0.04897,23.39
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class15,0.006417,0.02934,0.02293,0.001763,0.02672,24.01
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class16,0.002332,0.008320,0.005988,0.0006657,0.007465,31.23
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class17,0.005320,0.01183,0.006513,0.001212,0.009343,56.94
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class18,0.005718,0.008162,0.002443,0.001513,0.004366,131.0
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class19,0.003013,0.003035,0.00002218,0.0007287,0.0005815,518.2
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class20,0.001997,0.001998,0.000001338,0.0004917,0.0003542,563.8
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class21,0.002687,0.003874,0.001187,0.0007080,0.002502,107.4
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class22,0.0009869,0.0009909,0.000004034,0.0002340,0.0005042,195.7
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class23,0.007340,0.01843,0.01109,0.001729,0.01628,45.09
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class24,0.002333,0.004003,0.001670,0.0006342,0.002815,82.87
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class25,0.001332,0.001333,6.673E-7,0.0003165,0.0006034,220.8
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class26,0.01030,0.03327,0.02296,0.002660,0.02673,38.55
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class27,0.004039,0.008847,0.004807,0.0009441,0.007237,55.82
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class28,0.007316,0.02446,0.01715,0.002114,0.02090,35.01
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class29,0.002319,0.002325,0.000006720,0.0004983,0.001495,155.1
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class30,0.01088,0.03723,0.02634,0.002284,0.03382,32.18
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class31,0.002310,0.002320,0.000009873,0.0005075,0.001447,159.6
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class32,0.005015,0.005045,0.00003029,0.001163,0.0009889,507.2
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class33,0.004286,0.005581,0.001295,0.001330,0.003336,128.5
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class34,0.003686,0.004053,0.0003670,0.0008012,0.002279,161.7
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class35,0.005734,0.02373,0.01799,0.001488,0.02069,27.71
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class36,0.004686,0.008104,0.003418,0.001172,0.005423,86.40
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class37,0.003930,0.01510,0.01117,0.0009287,0.01255,31.33
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class38,0.001342,0.001677,0.0003348,0.0003455,0.0009208,145.7
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class39,0.003963,0.005204,0.001241,0.001184,0.002865,138.3
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class40,0.007313,0.01024,0.002931,0.002034,0.007833,93.36
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class41,0.006971,0.04953,0.04256,0.001735,0.04629,15.06
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class42,0.002000,0.004312,0.002312,0.0005397,0.003458,57.83
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class43,0.0003336,0.0003336,0,0.0001668,0.0001668,200
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class44,0.0006667,0.0006667,0,0.0001998,0.0005417,123.1
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class45,0.002692,0.009836,0.007143,0.0007915,0.008400,32.05
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class46,0.003705,0.008428,0.004723,0.001047,0.006548,56.58
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class47,0.003925,0.02126,0.01734,0.001168,0.01949,20.13
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class48,0.002331,0.003004,0.0006730,0.0006061,0.001693,137.7
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class49,0.001670,0.002014,0.0003444,0.0005172,0.001283,130.1
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class50,0.008061,0.02679,0.01873,0.002169,0.02323,34.71
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class51,0.009343,0.03092,0.02157,0.002875,0.02747,34.01
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class52,0.01461,0.05334,0.03873,0.003956,0.04849,30.14
