,,max_diff,max,min,std_dev,mean,rel_maxdiff(%)
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class 0,0.005333,0.01267,0.007333,0.001244,0.009583,55.65
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class 1,0.004667,0.02667,0.02200,0.001190,0.02417,19.31
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class 2,0.01533,0.06333,0.04800,0.003495,0.05542,27.67
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class 3,0.01533,0.02000,0.004667,0.003640,0.009292,165.0
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class 4,0.01800,0.02600,0.008000,0.003957,0.01525,118.0
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class 5,0.008667,0.04733,0.03867,0.002674,0.04312,20.10
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class 6,0.01400,0.02133,0.007333,0.003171,0.01629,85.93
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class 7,0.005333,0.02133,0.01600,0.001490,0.01763,30.26
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class 8,0.006000,0.06200,0.05600,0.001984,0.05925,10.13
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class 9,0.006667,0.02467,0.01800,0.001806,0.02154,30.95
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class10,0.01267,0.03333,0.02067,0.003238,0.02554,49.59
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class11,0.01067,0.03867,0.02800,0.002734,0.03017,35.36
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class12,0.003333,0.01400,0.01067,0.0009718,0.01267,26.32
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class13,0.006000,0.009333,0.003333,0.001491,0.006333,94.74
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class14,0.02800,0.1507,0.1227,0.006597,0.1400,20.01
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class15,0.01133,0.06933,0.05800,0.003341,0.06458,17.55
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class16,0.004667,0.01533,0.01067,0.001207,0.01346,34.67
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class17,0.008667,0.02133,0.01267,0.002546,0.01712,50.61
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class18,0.01267,0.02267,0.01000,0.003166,0.01463,86.61
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class19,0.006667,0.006667,0,0.001563,0.001042,640.0
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class20,0.003333,0.004000,0.0006667,0.0008457,0.001250,266.7
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class21,0.006000,0.01067,0.004667,0.001485,0.007792,77.01
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class22,0.003333,0.007333,0.004000,0.0008323,0.006708,49.69
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class23,0.01667,0.03667,0.02000,0.003955,0.03183,52.36
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class24,0.004667,0.007333,0.002667,0.001267,0.005250,88.89
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class25,0.002667,0.002667,0,0.0006333,0.001208,220.7
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class26,0.02267,0.09533,0.07267,0.006173,0.08008,28.30
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class27,0.008667,0.02600,0.01733,0.002067,0.02342,37.01
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class28,0.01467,0.05533,0.04067,0.004395,0.04779,30.69
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class29,0.006000,0.006000,0,0.001247,0.003042,197.3
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class30,0.02267,0.09133,0.06867,0.004690,0.08392,27.01
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class31,0.005333,0.006667,0.001333,0.001148,0.003125,170.7
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class32,0.01200,0.01200,0,0.002798,0.002292,523.6
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class33,0.009333,0.03667,0.02733,0.002943,0.03192,29.24
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class34,0.008667,0.01333,0.004667,0.001950,0.01004,86.31
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class35,0.01267,0.07733,0.06467,0.003421,0.07021,18.04
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class36,0.009333,0.02267,0.01333,0.002409,0.01796,51.97
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class37,0.006667,0.04133,0.03467,0.001724,0.03750,17.78
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class38,0.003333,0.008000,0.004667,0.0007982,0.006042,55.17
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class39,0.008667,0.02267,0.01400,0.002536,0.01821,47.60
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class40,0.01667,0.06800,0.05133,0.004261,0.06275,26.56
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class41,0.01667,0.1307,0.1140,0.003858,0.1231,13.54
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class42,0.002000,0.002667,0.0006667,0.0007895,0.001208,165.5
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class43,0.0006667,0.001333,0.0006667,0.0003333,0.001000,66.67
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class44,0.001333,0.001333,0,0.0003997,0.001083,123.1
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class45,0.005333,0.02667,0.02133,0.001434,0.02400,22.22
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class46,0.006000,0.02867,0.02267,0.001833,0.02550,23.53
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class47,0.008000,0.05667,0.04867,0.002466,0.05271,15.18
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class48,0.005333,0.006000,0.0006667,0.001310,0.002917,182.9
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class49,0.004667,0.008667,0.004000,0.001123,0.006458,72.26
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class50,0.01400,0.06267,0.04867,0.003901,0.05675,24.67
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class51,0.02400,0.1240,0.1000,0.006485,0.1160,20.69
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class52,0.03067,0.1413,0.1107,0.008188,0.1316,23.31
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class53,0.008000,0.01400,0.006000,0.002273,0.009667,82.76
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class54,0.004667,0.004667,0,0.001423,0.002625,177.8
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class55,0.006000,0.008667,0.002667,0.001579,0.005250,114.3
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class56,0.008000,0.03600,0.02800,0.002511,0.03138,25.50
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class57,0.01133,0.03600,0.02467,0.002685,0.03087,36.71
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class58,0.008667,0.03733,0.02867,0.002088,0.03283,26.40
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class59,0.01067,0.07933,0.06867,0.002687,0.07237,14.74
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class60,0.005333,0.006000,0.0006667,0.001312,0.003625,147.1
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class61,0.01467,0.1133,0.09867,0.003933,0.1093,13.42
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class62,0.008667,0.01267,0.004000,0.002276,0.007458,116.2
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class63,0.02200,0.05600,0.03400,0.005420,0.04888,45.01
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class64,0.01733,0.1340,0.1167,0.003730,0.1286,13.48
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class65,0.01400,0.1053,0.09133,0.003636,0.09800,14.29
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class66,0.01467,0.02867,0.01400,0.003923,0.01904,77.02
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class67,0.004667,0.04867,0.04400,0.001572,0.04529,10.30
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class68,0.009333,0.02467,0.01533,0.002312,0.01921,48.59
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class69,0.004667,0.06400,0.05933,0.001681,0.06158,7.578
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class70,0.005333,0.007333,0.002000,0.001452,0.003625,147.1
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class71,0.01000,0.02800,0.01800,0.002676,0.02192,45.63
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class72,0.002667,0.003333,0.0006667,0.0008457,0.001750,152.4
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class73,0.01200,0.02133,0.009333,0.002863,0.01683,71.29
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class74,0.01333,0.05200,0.03867,0.002976,0.04271,31.22
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class75,0.01467,0.04267,0.02800,0.003312,0.03596,40.79
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class76,0.01067,0.06933,0.05867,0.002552,0.06388,16.70
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class77,0.01333,0.03200,0.01867,0.003779,0.02600,51.28
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class78,0.01267,0.05267,0.04000,0.003528,0.04533,27.94
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,overall,0.001063,0.03438,0.03332,0.0002860,0.03387,3.139
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv5/,class 0,0.004000,0.01333,0.009333,0.0009718,0.01133,35.29
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv5/,class 1,0.01333,0.03067,0.01733,0.002991,0.02333,57.14
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv5/,class 2,0.02667,0.07800,0.05133,0.005819,0.06338,42.08
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv5/,class 3,0.01400,0.01400,0,0.003857,0.004875,287.2
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv5/,class 4,0.01000,0.02400,0.01400,0.003051,0.01883,53.10
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv5/,class 5,0.01133,0.04267,0.03133,0.003037,0.03800,29.82
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv5/,class 6,0.03000,0.04000,0.01000,0.009715,0.02433,123.3
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv5/,class 7,0.009333,0.02667,0.01733,0.002807,0.02108,44.27
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv5/,class 8,0.008000,0.05267,0.04467,0.002344,0.04758,16.81
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv5/,class 9,0.01733,0.02133,0.004000,0.004489,0.01288,134.6
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv5/,class10,0.01867,0.02933,0.01067,0.004336,0.02463,75.80
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv5/,class11,0.01200,0.04267,0.03067,0.002870,0.03454,34.74
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv5/,class12,0.008667,0.01600,0.007333,0.002291,0.01217,71.23
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv5/,class13,0.009333,0.01000,0.0006667,0.002475,0.004542,205.5
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv5/,class14,0.05200,0.1160,0.06400,0.01600,0.08879,58.56
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv5/,class15,0.03400,0.06800,0.03400,0.008211,0.05129,66.29
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv5/,class16,0.008000,0.01667,0.008667,0.002403,0.01162,68.82
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv5/,class17,0.01133,0.01867,0.007333,0.003447,0.01325,85.53
