,,max_diff,max,min,std_dev,mean,rel_maxdiff(%)
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class 0,0.002667,0.006333,0.003667,0.0006222,0.004792,55.65
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class 1,0.002333,0.01333,0.01100,0.0005951,0.01208,19.31
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class 2,0.007667,0.03167,0.02400,0.001748,0.02771,27.67
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class 3,0.007667,0.01000,0.002333,0.001820,0.004646,165.0
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class 4,0.009000,0.01300,0.004000,0.001979,0.007625,118.0
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class 5,0.004333,0.02367,0.01933,0.001337,0.02156,20.10
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class 6,0.007000,0.01067,0.003667,0.001585,0.008146,85.93
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class 7,0.002667,0.01067,0.008000,0.0007451,0.008813,30.26
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class 8,0.003000,0.03100,0.02800,0.0009922,0.02962,10.13
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class 9,0.003333,0.01233,0.009000,0.0009031,0.01077,30.95
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class10,0.006333,0.01667,0.01033,0.001619,0.01277,49.59
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class11,0.005333,0.01933,0.01400,0.001367,0.01508,35.36
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class12,0.001667,0.007000,0.005333,0.0004859,0.006333,26.32
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class13,0.003000,0.004667,0.001667,0.0007454,0.003167,94.74
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class14,0.01400,0.07533,0.06133,0.003299,0.06998,20.01
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class15,0.005667,0.03467,0.02900,0.001670,0.03229,17.55
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class16,0.002333,0.007667,0.005333,0.0006034,0.006729,34.67
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class17,0.004333,0.01067,0.006333,0.001273,0.008562,50.61
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class18,0.006333,0.01133,0.005000,0.001583,0.007313,86.61
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class19,0.003333,0.003333,0,0.0007815,0.0005208,640.0
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class20,0.001667,0.002000,0.0003333,0.0004229,0.0006250,266.7
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class21,0.003000,0.005333,0.002333,0.0007427,0.003896,77.01
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class22,0.001667,0.003667,0.002000,0.0004161,0.003354,49.69
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class23,0.008333,0.01833,0.01000,0.001977,0.01592,52.36
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class24,0.002333,0.003667,0.001333,0.0006333,0.002625,88.89
./coco_aggregated_raw_prediction/threshold_0.1/adv-conv4/,class25,0.001333,0.001333,0,0.0003166,0.0006042,220.7
