,,max_diff,max,min,std_dev,mean,rel_maxdiff(%)
./imSitu_aggregated_raw_prediction/adv-conv4/,class  0,0.004710,0.05599,0.05128,0.001220,0.05339,8.821
./imSitu_aggregated_raw_prediction/adv-conv4/,class  1,0,0.07500,0.07500,0,0.07500,0
./imSitu_aggregated_raw_prediction/adv-conv4/,class  2,0.002463,0.02406,0.02159,0.0006825,0.02315,10.64
./imSitu_aggregated_raw_prediction/adv-conv4/,class  3,0.05128,0.2299,0.1787,0.01426,0.1995,25.71
./imSitu_aggregated_raw_prediction/adv-conv4/,class  4,0.003003,0.03003,0.02703,0.001454,0.02890,10.39
./imSitu_aggregated_raw_prediction/adv-conv4/,class  5,0.01818,0.02030,0.002114,0.005653,0.01779,102.2
./imSitu_aggregated_raw_prediction/adv-conv4/,class  6,0.003103,0.06999,0.06689,0.001211,0.06747,4.599
./imSitu_aggregated_raw_prediction/adv-conv4/,class  7,0.006168,0.1953,0.1892,0.001493,0.1950,3.164
./imSitu_aggregated_raw_prediction/adv-conv4/,class  8,0.009539,0.02010,0.01056,0.002594,0.01723,55.37
./imSitu_aggregated_raw_prediction/adv-conv4/,class  9,0,0.07639,0.07639,0,0.07639,0
./imSitu_aggregated_raw_prediction/adv-conv4/,class 10,0.04530,0.08193,0.03663,0.01334,0.04886,92.71
./imSitu_aggregated_raw_prediction/adv-conv4/,class 11,0.01724,0.1188,0.1015,0.003789,0.1161,14.85
./imSitu_aggregated_raw_prediction/adv-conv4/,class 12,0.01667,0.2333,0.2167,0.005629,0.2223,7.498
./imSitu_aggregated_raw_prediction/adv-conv4/,class 13,0.03968,0.08242,0.04274,0.01624,0.05817,68.21
./imSitu_aggregated_raw_prediction/adv-conv4/,class 14,0.03704,0.06878,0.03175,0.01608,0.04810,77.00
./imSitu_aggregated_raw_prediction/adv-conv4/,class 15,0.02632,0.3748,0.3485,0.01140,0.3551,7.412
./imSitu_aggregated_raw_prediction/adv-conv4/,class 16,0.03134,0.07090,0.03956,0.007626,0.04344,72.14
./imSitu_aggregated_raw_prediction/adv-conv4/,class 17,0.02885,0.05861,0.02976,0.007126,0.04072,70.85
./imSitu_aggregated_raw_prediction/adv-conv4/,class 18,0.01103,0.04575,0.03472,0.004305,0.03679,29.98
./imSitu_aggregated_raw_prediction/adv-conv4/,class 19,0.01887,0.1447,0.1258,0.004378,0.1384,13.63
./imSitu_aggregated_raw_prediction/adv-conv4/,class 20,0.02143,0.03764,0.01622,0.005398,0.02422,88.49
./imSitu_aggregated_raw_prediction/adv-conv4/,class 21,0.02205,0.05263,0.03058,0.01094,0.04299,51.29
./imSitu_aggregated_raw_prediction/adv-conv4/,class 22,0.03452,0.1160,0.08147,0.009721,0.09949,34.69
./imSitu_aggregated_raw_prediction/adv-conv4/,class 23,0.01034,0.05366,0.04331,0.002979,0.04970,20.82
./imSitu_aggregated_raw_prediction/adv-conv4/,class 24,0.004049,0.02632,0.02227,0.002008,0.02404,16.84
./imSitu_aggregated_raw_prediction/adv-conv4/,class 25,0.002646,0.1933,0.1906,0.0006404,0.1908,1.387
./imSitu_aggregated_raw_prediction/adv-conv4/,class 26,0,0.08577,0.08577,0,0.08577,0
./imSitu_aggregated_raw_prediction/adv-conv4/,class 27,0.02500,0.08452,0.05952,0.006205,0.07598,32.91
./imSitu_aggregated_raw_prediction/adv-conv4/,class 28,0.05210,0.08151,0.02941,0.01308,0.04876,106.8
./imSitu_aggregated_raw_prediction/adv-conv4/,class 29,0,0.1307,0.1307,5.551E-17,0.1307,0
./imSitu_aggregated_raw_prediction/adv-conv4/,class 30,0.005797,0.08485,0.07905,0.001917,0.08412,6.891
./imSitu_aggregated_raw_prediction/adv-conv4/,class 31,0.01815,0.1766,0.1585,0.007082,0.1619,11.21
./imSitu_aggregated_raw_prediction/adv-conv4/,class 32,0.04152,0.04368,0.002155,0.01469,0.01255,330.8
./imSitu_aggregated_raw_prediction/adv-conv4/,class 33,0.01548,0.1375,0.1220,0.004797,0.1336,11.59
