,,max_diff,max,min,std_dev,mean,rel_maxdiff(%)
./imSitu_aggregated_raw_prediction/adv-conv4/,class  0,0.005556,0.9167,0.9111,0.001438,0.9142,0.6077
./imSitu_aggregated_raw_prediction/adv-conv4/,class  1,0,0.9189,0.9189,3.331E-16,0.9189,0
./imSitu_aggregated_raw_prediction/adv-conv4/,class  2,0.002849,0.9259,0.9231,0.0007889,0.9249,0.3080
./imSitu_aggregated_raw_prediction/adv-conv4/,class  3,0.1156,0.5556,0.4400,0.03174,0.5101,22.65
./imSitu_aggregated_raw_prediction/adv-conv4/,class  4,0.003788,0.8788,0.875,0.001834,0.8764,0.4322
./imSitu_aggregated_raw_prediction/adv-conv4/,class  5,0.02157,0.9216,0.9000,0.006703,0.9186,2.348
./imSitu_aggregated_raw_prediction/adv-conv4/,class  6,0.004268,0.8293,0.8250,0.001666,0.8285,0.5152
./imSitu_aggregated_raw_prediction/adv-conv4/,class  7,0.01349,0.5278,0.5143,0.003266,0.5151,2.619
./imSitu_aggregated_raw_prediction/adv-conv4/,class  8,0.01212,0.8788,0.8667,0.003291,0.8752,1.385
./imSitu_aggregated_raw_prediction/adv-conv4/,class  9,0,0.875,0.875,0,0.875,0
./imSitu_aggregated_raw_prediction/adv-conv4/,class 10,0.05856,0.8919,0.8333,0.01743,0.8495,6.894
./imSitu_aggregated_raw_prediction/adv-conv4/,class 11,0.02187,0.8846,0.8627,0.004814,0.8813,2.482
./imSitu_aggregated_raw_prediction/adv-conv4/,class 12,0.03030,0.6667,0.6364,0.01020,0.6565,4.616
./imSitu_aggregated_raw_prediction/adv-conv4/,class 13,0.04808,0.9231,0.875,0.01970,0.8939,5.379
./imSitu_aggregated_raw_prediction/adv-conv4/,class 14,0.04500,0.9200,0.875,0.01946,0.8950,5.028
./imSitu_aggregated_raw_prediction/adv-conv4/,class 15,0.1000,0.1000,0,0.04330,0.02500,400
./imSitu_aggregated_raw_prediction/adv-conv4/,class 16,0.04545,0.8182,0.7727,0.01104,0.8126,5.593
./imSitu_aggregated_raw_prediction/adv-conv4/,class 17,0.03896,0.8571,0.8182,0.009606,0.8426,4.624
./imSitu_aggregated_raw_prediction/adv-conv4/,class 18,0.01648,0.7857,0.7692,0.006434,0.7723,2.134
./imSitu_aggregated_raw_prediction/adv-conv4/,class 19,0.02935,0.7674,0.7381,0.006799,0.7578,3.872
./imSitu_aggregated_raw_prediction/adv-conv4/,class 20,0.03261,0.7826,0.75,0.008236,0.7623,4.278
./imSitu_aggregated_raw_prediction/adv-conv4/,class 21,0.03226,0.8065,0.7742,0.01600,0.7883,4.092
./imSitu_aggregated_raw_prediction/adv-conv4/,class 22,0.06926,0.6176,0.5484,0.01943,0.5821,11.90
./imSitu_aggregated_raw_prediction/adv-conv4/,class 23,0.01596,0.7660,0.75,0.004603,0.7561,2.110
./imSitu_aggregated_raw_prediction/adv-conv4/,class 24,0.005682,0.8182,0.8125,0.002819,0.8157,0.6966
./imSitu_aggregated_raw_prediction/adv-conv4/,class 25,0.003077,0.9231,0.9200,0.0007448,0.9202,0.3344
./imSitu_aggregated_raw_prediction/adv-conv4/,class 26,0,0.7333,0.7333,2.220E-16,0.7333,0
./imSitu_aggregated_raw_prediction/adv-conv4/,class 27,0.04301,0.7097,0.6667,0.01066,0.6952,6.187
./imSitu_aggregated_raw_prediction/adv-conv4/,class 28,0.08201,0.7857,0.7037,0.02038,0.7562,10.85
