,,max_diff,max,min,std_dev,mean,rel_maxdiff(%)
./imSitu_aggregated_raw_prediction/adv-conv4/,class  0,0.0006752,0.006094,0.005418,0.0002302,0.005651,11.95
./imSitu_aggregated_raw_prediction/adv-conv4/,class  1,0,0.004400,0.004400,8.674E-19,0.004400,0
./imSitu_aggregated_raw_prediction/adv-conv4/,class  2,0.0006754,0.007438,0.006762,0.0001888,0.007185,9.401
./imSitu_aggregated_raw_prediction/adv-conv4/,class  3,0.0006727,0.0006960,0.00002324,0.0002512,0.0003787,177.6
./imSitu_aggregated_raw_prediction/adv-conv4/,class  4,0.0003372,0.004731,0.004393,0.0001632,0.004520,7.459
./imSitu_aggregated_raw_prediction/adv-conv4/,class  5,0.0006715,0.005757,0.005086,0.0002049,0.005610,11.97
./imSitu_aggregated_raw_prediction/adv-conv4/,class  6,0.0003373,0.004740,0.004402,0.0001316,0.004677,7.212
./imSitu_aggregated_raw_prediction/adv-conv4/,class  7,0,0.003418,0.003418,4.337E-19,0.003418,0
./imSitu_aggregated_raw_prediction/adv-conv4/,class  8,0.0006743,0.005404,0.004730,0.0002346,0.005194,12.98
./imSitu_aggregated_raw_prediction/adv-conv4/,class  9,0,0.002356,0.002356,4.337E-19,0.002356,0
./imSitu_aggregated_raw_prediction/adv-conv4/,class 10,0.0006710,0.007424,0.006753,0.0002221,0.007005,9.580
./imSitu_aggregated_raw_prediction/adv-conv4/,class 11,0.0003365,0.008423,0.008087,0.00008145,0.008108,4.150
./imSitu_aggregated_raw_prediction/adv-conv4/,class 12,0.0006292,0.0006512,0.00002200,0.0002103,0.0002287,275.2
./imSitu_aggregated_raw_prediction/adv-conv4/,class 13,0.001011,0.005062,0.004051,0.0003338,0.004432,22.82
./imSitu_aggregated_raw_prediction/adv-conv4/,class 14,0.0006707,0.006712,0.006041,0.0002004,0.006502,10.32
./imSitu_aggregated_raw_prediction/adv-conv4/,class 15,0.0003339,0.001993,0.001659,0.0001446,0.001743,19.16
./imSitu_aggregated_raw_prediction/adv-conv4/,class 16,0.0003368,0.001356,0.001020,0.0001628,0.001230,27.38
./imSitu_aggregated_raw_prediction/adv-conv4/,class 17,0.0006709,0.003358,0.002687,0.0001677,0.003023,22.19
./imSitu_aggregated_raw_prediction/adv-conv4/,class 18,0.0003349,0.001677,0.001342,0.0001307,0.001405,23.84
./imSitu_aggregated_raw_prediction/adv-conv4/,class 19,0.001007,0.006727,0.005720,0.0002654,0.006223,16.19
./imSitu_aggregated_raw_prediction/adv-conv4/,class 20,0.001010,0.004719,0.003710,0.0002516,0.004067,24.83
./imSitu_aggregated_raw_prediction/adv-conv4/,class 21,0.0003339,0.001692,0.001358,0.0001656,0.001504,22.20
./imSitu_aggregated_raw_prediction/adv-conv4/,class 22,0.001008,0.001711,0.0007022,0.0002656,0.001207,83.56
./imSitu_aggregated_raw_prediction/adv-conv4/,class 23,0.001012,0.007793,0.006781,0.0002890,0.007329,13.80
./imSitu_aggregated_raw_prediction/adv-conv4/,class 24,0.0003370,0.002372,0.002035,0.0001672,0.002224,15.15
./imSitu_aggregated_raw_prediction/adv-conv4/,class 25,0.0003361,0.005382,0.005046,0.00008137,0.005067,6.634
./imSitu_aggregated_raw_prediction/adv-conv4/,class 26,0,0.001347,0.001347,0,0.001347,0
./imSitu_aggregated_raw_prediction/adv-conv4/,class 27,0.001346,0.004390,0.003044,0.0003027,0.003738,36.02
./imSitu_aggregated_raw_prediction/adv-conv4/,class 28,0.0006705,0.004053,0.003382,0.0002005,0.003841,17.45
./imSitu_aggregated_raw_prediction/adv-conv4/,class 29,0,0.002349,0.002349,8.674E-19,0.002349,0
./imSitu_aggregated_raw_prediction/adv-conv4/,class 30,0.0003364,0.001367,0.001030,0.0001112,0.001072,31.37
./imSitu_aggregated_raw_prediction/adv-conv4/,class 31,0.0003069,0.0003205,0.00001355,0.0001198,0.00007109,431.7
./imSitu_aggregated_raw_prediction/adv-conv4/,class 32,0.0003356,0.001348,0.001013,0.0001307,0.001076,31.20
./imSitu_aggregated_raw_prediction/adv-conv4/,class 33,0,0.002708,0.002708,0,0.002708,0
./imSitu_aggregated_raw_prediction/adv-conv4/,class 34,0.0003356,0.0003457,0.00001010,0.0001308,0.00007295,460.0
./imSitu_aggregated_raw_prediction/adv-conv4/,class 35,0.001004,0.005367,0.004363,0.0002612,0.004990,20.12
./imSitu_aggregated_raw_prediction/adv-conv4/,class 36,0.001007,0.002026,0.001019,0.0003243,0.001376,73.19
./imSitu_aggregated_raw_prediction/adv-conv4/,class 37,0.0003350,0.0006642,0.0003292,0.0001307,0.0003920,85.47
./imSitu_aggregated_raw_prediction/adv-conv4/,class 38,0.0006706,0.003365,0.002694,0.0001863,0.003050,21.99
./imSitu_aggregated_raw_prediction/adv-conv4/,class 39,0,0.0003245,0.0003245,0,0.0003245,0
./imSitu_aggregated_raw_prediction/adv-conv4/,class 40,0.001008,0.005391,0.004382,0.0003255,0.004802,21.00
./imSitu_aggregated_raw_prediction/adv-conv4/,class 41,0.0006716,0.005381,0.004709,0.0002046,0.004898,13.71
./imSitu_aggregated_raw_prediction/adv-conv4/,class 42,0.0003366,0.0009949,0.0006583,0.0001683,0.0008266,40.72
./imSitu_aggregated_raw_prediction/adv-conv4/,class 43,0.001004,0.005374,0.004370,0.0002765,0.004725,21.25
./imSitu_aggregated_raw_prediction/adv-conv4/,class 44,0.0003357,0.002698,0.002362,0.0001556,0.002467,13.61
./imSitu_aggregated_raw_prediction/adv-conv4/,class 45,0.0003351,0.003349,0.003014,0.0001553,0.003244,10.33
./imSitu_aggregated_raw_prediction/adv-conv4/,class 46,0.0006700,0.001353,0.0006826,0.0002332,0.0008920,75.12
./imSitu_aggregated_raw_prediction/adv-conv4/,class 47,0,0.000007596,0.000007596,0,0.000007596,0
./imSitu_aggregated_raw_prediction/adv-conv4/,class 48,0,0,0,0,0,0
./imSitu_aggregated_raw_prediction/adv-conv4/,class 49,0,0.001679,0.001679,2.168E-19,0.001679,0
./imSitu_aggregated_raw_prediction/adv-conv4/,class 50,0.0003357,0.002692,0.002356,0.0001454,0.002608,12.87
./imSitu_aggregated_raw_prediction/adv-conv4/,class 51,0.001005,0.002011,0.001006,0.0002512,0.001592,63.11
./imSitu_aggregated_raw_prediction/adv-conv4/,class 52,0.0006716,0.006047,0.005376,0.0001626,0.005754,11.67
./imSitu_aggregated_raw_prediction/adv-conv4/,class 53,0.0006689,0.0006749,0.000006052,0.0001182,0.0003405,196.4
./imSitu_aggregated_raw_prediction/adv-conv4/,class 54,0.0006696,0.0006812,0.00001166,0.0002201,0.0003197,209.5
./imSitu_aggregated_raw_prediction/adv-conv4/,class 55,0.0003357,0.0006624,0.0003267,0.0001556,0.0005575,60.21
./imSitu_aggregated_raw_prediction/adv-conv4/,class 56,0.0006702,0.002678,0.002007,0.0001622,0.002301,29.13
./imSitu_aggregated_raw_prediction/adv-conv4/,class 57,0.0006709,0.001683,0.001012,0.0001186,0.001348,49.77
./imSitu_aggregated_raw_prediction/adv-conv4/,class 58,0.0006698,0.002346,0.001676,0.0002283,0.002115,31.66
./imSitu_aggregated_raw_prediction/adv-conv4/,class 59,0.0003346,0.0009969,0.0006624,0.00008098,0.0006833,48.96
./imSitu_aggregated_raw_prediction/adv-conv4/,class 60,0.0003184,0.0003265,0.000008081,0.0001379,0.0002469,129.0
./imSitu_aggregated_raw_prediction/adv-conv4/,class 61,0.0006723,0.003365,0.002693,0.0001879,0.002945,22.83
./imSitu_aggregated_raw_prediction/adv-conv4/,class 62,0.0003343,0.0006897,0.0003554,0.0001672,0.0005225,63.98
