,,max_diff,max,min,std_dev,mean,rel_maxdiff(%)
./imSitu_aggregated_raw_prediction/adv-conv4/,class  0,0.02632,0.6842,0.6579,0.006370,0.6826,3.855
./imSitu_aggregated_raw_prediction/adv-conv4/,class  1,0,0.5676,0.5676,0,0.5676,0
./imSitu_aggregated_raw_prediction/adv-conv4/,class  2,0,0.2692,0.2692,5.551E-17,0.2692,0
./imSitu_aggregated_raw_prediction/adv-conv4/,class  3,0.03704,0.1944,0.1574,0.01604,0.1852,20.00
./imSitu_aggregated_raw_prediction/adv-conv4/,class  4,0,0.1373,0.1373,2.776E-17,0.1373,0
./imSitu_aggregated_raw_prediction/adv-conv4/,class  5,0,0.7692,0.7692,2.220E-16,0.7692,0
./imSitu_aggregated_raw_prediction/adv-conv4/,class  6,0,0.03810,0.03810,0,0.03810,0
./imSitu_aggregated_raw_prediction/adv-conv4/,class  7,0.03030,0.09697,0.06667,0.007335,0.09508,31.87
./imSitu_aggregated_raw_prediction/adv-conv4/,class  8,0.02941,0.2118,0.1824,0.01363,0.2026,14.52
./imSitu_aggregated_raw_prediction/adv-conv4/,class  9,0,0.1410,0.1410,2.776E-17,0.1410,0
./imSitu_aggregated_raw_prediction/adv-conv4/,class 10,0.1429,0.3438,0.2009,0.06622,0.2455,58.18
./imSitu_aggregated_raw_prediction/adv-conv4/,class 11,0.125,0.6607,0.5357,0.03026,0.6529,19.15
./imSitu_aggregated_raw_prediction/adv-conv4/,class 12,0,0.4138,0.4138,5.551E-17,0.4138,0
./imSitu_aggregated_raw_prediction/adv-conv4/,class 13,0,0.2727,0.2727,1.110E-16,0.2727,0
./imSitu_aggregated_raw_prediction/adv-conv4/,class 14,0,0.1667,0.1667,2.776E-17,0.1667,0
./imSitu_aggregated_raw_prediction/adv-conv4/,class 15,0,0.1786,0.1786,5.551E-17,0.1786,0
./imSitu_aggregated_raw_prediction/adv-conv4/,class 16,0,0.2339,0.2339,0,0.2339,0
./imSitu_aggregated_raw_prediction/adv-conv4/,class 17,0.05263,0.1053,0.05263,0.02279,0.09211,57.14
./imSitu_aggregated_raw_prediction/adv-conv4/,class 18,0,0.25,0.25,0,0.25,0
./imSitu_aggregated_raw_prediction/adv-conv4/,class 19,0,0.5455,0.5455,2.220E-16,0.5455,0
./imSitu_aggregated_raw_prediction/adv-conv4/,class 20,0,0.04310,0.04310,1.388E-17,0.04310,0
./imSitu_aggregated_raw_prediction/adv-conv4/,class 21,0,0.07273,0.07273,0,0.07273,0
./imSitu_aggregated_raw_prediction/adv-conv4/,class 22,0.03030,0.1061,0.07576,0.01515,0.09091,33.33
./imSitu_aggregated_raw_prediction/adv-conv4/,class 23,0.02857,0.3714,0.3429,0.01429,0.3571,8.000
./imSitu_aggregated_raw_prediction/adv-conv4/,class 24,0,0.2667,0.2667,0,0.2667,0
./imSitu_aggregated_raw_prediction/adv-conv4/,class 25,0,0.3200,0.3200,0,0.3200,0
./imSitu_aggregated_raw_prediction/adv-conv4/,class 26,0,0.3684,0.3684,1.110E-16,0.3684,0
./imSitu_aggregated_raw_prediction/adv-conv4/,class 27,0.03448,0.3024,0.2679,0.01724,0.2851,12.09
./imSitu_aggregated_raw_prediction/adv-conv4/,class 28,0.006897,0.02069,0.01379,0.003421,0.01681,41.03
./imSitu_aggregated_raw_prediction/adv-conv4/,class 29,0,0.4359,0.4359,5.551E-17,0.4359,0
./imSitu_aggregated_raw_prediction/adv-conv4/,class 30,0,0.2778,0.2778,5.551E-17,0.2778,0
./imSitu_aggregated_raw_prediction/adv-conv4/,class 31,0,0.07843,0.07843,2.776E-17,0.07843,0
./imSitu_aggregated_raw_prediction/adv-conv4/,class 32,0.05000,0.1500,0.1000,0.02318,0.1344,37.21
./imSitu_aggregated_raw_prediction/adv-conv4/,class 33,0.07692,0.4103,0.3333,0.02355,0.3910,19.67
./imSitu_aggregated_raw_prediction/adv-conv4/,class 34,0,0.1000,0.1000,2.776E-17,0.1000,0
./imSitu_aggregated_raw_prediction/adv-conv4/,class 35,0,0.125,0.125,0,0.125,0
./imSitu_aggregated_raw_prediction/adv-conv4/,class 36,0.04167,0.1310,0.08929,0.01378,0.09449,44.09
./imSitu_aggregated_raw_prediction/adv-conv4/,class 37,0.06667,0.1273,0.06061,0.03090,0.1064,62.63
./imSitu_aggregated_raw_prediction/adv-conv4/,class 38,0.04167,0.04545,0.003788,0.02083,0.02462,169.2
./imSitu_aggregated_raw_prediction/adv-conv4/,class 39,0,0.3426,0.3426,0,0.3426,0
./imSitu_aggregated_raw_prediction/adv-conv4/,class 40,0,0.2800,0.2800,1.110E-16,0.2800,0
./imSitu_aggregated_raw_prediction/adv-conv4/,class 41,0.04545,0.06818,0.02273,0.02201,0.05114,88.89
./imSitu_aggregated_raw_prediction/adv-conv4/,class 42,0,0.1330,0.1330,0,0.1330,0
./imSitu_aggregated_raw_prediction/adv-conv4/,class 43,0,0.1571,0.1571,5.551E-17,0.1571,0
./imSitu_aggregated_raw_prediction/adv-conv4/,class 44,0,0.07619,0.07619,0,0.07619,0
./imSitu_aggregated_raw_prediction/adv-conv4/,class 45,0,0,0,0,0,0
./imSitu_aggregated_raw_prediction/adv-conv4/,class 46,0,0.05742,0.05742,0,0.05742,0
./imSitu_aggregated_raw_prediction/adv-conv4/,class 47,0,0,0,0,0,0
./imSitu_aggregated_raw_prediction/adv-conv4/,class 48,0,0,0,0,0,0
./imSitu_aggregated_raw_prediction/adv-conv4/,class 49,0,0.06373,0.06373,0,0.06373,0
./imSitu_aggregated_raw_prediction/adv-conv4/,class 50,0,0.1190,0.1190,1.388E-17,0.1190,0
