,,max_diff,max,min,std_dev,mean,rel_maxdiff(%)
./imSitu_aggregated_raw_prediction/adv-conv4/,class  0,0.0003354,0.003027,0.002691,0.0001143,0.002807,11.95
./imSitu_aggregated_raw_prediction/adv-conv4/,class  1,0,0.002186,0.002186,0,0.002186,0
./imSitu_aggregated_raw_prediction/adv-conv4/,class  2,0.0003353,0.003692,0.003357,0.00009372,0.003566,9.401
./imSitu_aggregated_raw_prediction/adv-conv4/,class  3,0.0003346,0.0003462,0.00001156,0.0001250,0.0001884,177.6
./imSitu_aggregated_raw_prediction/adv-conv4/,class  4,0.0001675,0.002351,0.002183,0.00008111,0.002246,7.459
./imSitu_aggregated_raw_prediction/adv-conv4/,class  5,0.0003333,0.002858,0.002524,0.0001017,0.002785,11.97
./imSitu_aggregated_raw_prediction/adv-conv4/,class  6,0.0001676,0.002355,0.002187,0.00006540,0.002323,7.212
./imSitu_aggregated_raw_prediction/adv-conv4/,class  7,0,0.001698,0.001698,4.337E-19,0.001698,0
./imSitu_aggregated_raw_prediction/adv-conv4/,class  8,0.0003350,0.002685,0.002350,0.0001166,0.002580,12.98
./imSitu_aggregated_raw_prediction/adv-conv4/,class  9,0,0.001172,0.001172,2.168E-19,0.001172,0
./imSitu_aggregated_raw_prediction/adv-conv4/,class 10,0.0003333,0.003688,0.003354,0.0001103,0.003480,9.580
./imSitu_aggregated_raw_prediction/adv-conv4/,class 11,0.0001672,0.004186,0.004019,0.00004048,0.004029,4.150
./imSitu_aggregated_raw_prediction/adv-conv4/,class 12,0.0003130,0.0003240,0.00001094,0.0001046,0.0001138,275.2
./imSitu_aggregated_raw_prediction/adv-conv4/,class 13,0.0005023,0.002514,0.002012,0.0001658,0.002201,22.82
./imSitu_aggregated_raw_prediction/adv-conv4/,class 14,0.0003342,0.003344,0.003010,0.00009984,0.003239,10.32
./imSitu_aggregated_raw_prediction/adv-conv4/,class 15,0.0001660,0.0009910,0.0008250,0.00007189,0.0008665,19.16
./imSitu_aggregated_raw_prediction/adv-conv4/,class 16,0.0001674,0.0006742,0.0005068,0.00008093,0.0006115,27.38
./imSitu_aggregated_raw_prediction/adv-conv4/,class 17,0.0003343,0.001673,0.001339,0.00008357,0.001506,22.19
./imSitu_aggregated_raw_prediction/adv-conv4/,class 18,0.0001669,0.0008358,0.0006689,0.00006516,0.0007002,23.84
./imSitu_aggregated_raw_prediction/adv-conv4/,class 19,0.0005009,0.003345,0.002844,0.0001320,0.003095,16.19
./imSitu_aggregated_raw_prediction/adv-conv4/,class 20,0.0005018,0.002345,0.001843,0.0001250,0.002021,24.83
./imSitu_aggregated_raw_prediction/adv-conv4/,class 21,0.0001659,0.0008404,0.0006745,0.00008229,0.0007471,22.20
./imSitu_aggregated_raw_prediction/adv-conv4/,class 22,0.0005007,0.0008494,0.0003487,0.0001319,0.0005992,83.56
./imSitu_aggregated_raw_prediction/adv-conv4/,class 23,0.0005024,0.003870,0.003367,0.0001435,0.003640,13.80
./imSitu_aggregated_raw_prediction/adv-conv4/,class 24,0.0001674,0.001178,0.001011,0.00008307,0.001105,15.15
./imSitu_aggregated_raw_prediction/adv-conv4/,class 25,0.0001671,0.002676,0.002508,0.00004045,0.002519,6.634
./imSitu_aggregated_raw_prediction/adv-conv4/,class 26,0,0.0006703,0.0006703,1.084E-19,0.0006703,0
./imSitu_aggregated_raw_prediction/adv-conv4/,class 27,0.0006685,0.002180,0.001511,0.0001503,0.001856,36.02
./imSitu_aggregated_raw_prediction/adv-conv4/,class 28,0.0003333,0.002015,0.001681,0.00009969,0.001910,17.45
./imSitu_aggregated_raw_prediction/adv-conv4/,class 29,0,0.001171,0.001171,4.337E-19,0.001171,0
./imSitu_aggregated_raw_prediction/adv-conv4/,class 30,0.0001673,0.0006796,0.0005123,0.00005531,0.0005332,31.37
./imSitu_aggregated_raw_prediction/adv-conv4/,class 31,0.0001529,0.0001596,0.000006748,0.00005966,0.00003541,431.7
./imSitu_aggregated_raw_prediction/adv-conv4/,class 32,0.0001670,0.0006710,0.0005040,0.00006501,0.0005352,31.20
./imSitu_aggregated_raw_prediction/adv-conv4/,class 33,0,0.001347,0.001347,4.337E-19,0.001347,0
./imSitu_aggregated_raw_prediction/adv-conv4/,class 34,0.0001669,0.0001720,0.000005025,0.00006509,0.00003629,460.0
./imSitu_aggregated_raw_prediction/adv-conv4/,class 35,0.0005004,0.002675,0.002175,0.0001302,0.002488,20.12
./imSitu_aggregated_raw_prediction/adv-conv4/,class 36,0.0005003,0.001007,0.0005064,0.0001611,0.0006835,73.19
./imSitu_aggregated_raw_prediction/adv-conv4/,class 37,0.0001668,0.0003307,0.0001639,0.00006507,0.0001951,85.47
./imSitu_aggregated_raw_prediction/adv-conv4/,class 38,0.0003333,0.001672,0.001339,0.00009260,0.001516,21.99
./imSitu_aggregated_raw_prediction/adv-conv4/,class 39,0,0.0001612,0.0001612,0,0.0001612,0
./imSitu_aggregated_raw_prediction/adv-conv4/,class 40,0.0005008,0.002677,0.002176,0.0001616,0.002385,21.00
./imSitu_aggregated_raw_prediction/adv-conv4/,class 41,0.0003341,0.002677,0.002343,0.0001018,0.002437,13.71
./imSitu_aggregated_raw_prediction/adv-conv4/,class 42,0.0001673,0.0004945,0.0003272,0.00008364,0.0004108,40.72
./imSitu_aggregated_raw_prediction/adv-conv4/,class 43,0.0004996,0.002675,0.002175,0.0001376,0.002352,21.25
./imSitu_aggregated_raw_prediction/adv-conv4/,class 44,0.0001671,0.001343,0.001176,0.00007746,0.001228,13.61
./imSitu_aggregated_raw_prediction/adv-conv4/,class 45,0.0001665,0.001664,0.001497,0.00007717,0.001612,10.33
./imSitu_aggregated_raw_prediction/adv-conv4/,class 46,0.0003333,0.0006729,0.0003396,0.0001160,0.0004438,75.12
./imSitu_aggregated_raw_prediction/adv-conv4/,class 47,0,0.000003788,0.000003788,4.235E-22,0.000003788,0
./imSitu_aggregated_raw_prediction/adv-conv4/,class 48,0,0.0008326,0.0008326,1.084E-19,0.0008326,0
./imSitu_aggregated_raw_prediction/adv-conv4/,class 49,0,0.0008354,0.0008354,2.168E-19,0.0008354,0
./imSitu_aggregated_raw_prediction/adv-conv4/,class 50,0.0001669,0.001338,0.001171,0.00007228,0.001297,12.87
./imSitu_aggregated_raw_prediction/adv-conv4/,class 51,0.0005000,0.001001,0.0005006,0.0001250,0.0007923,63.11
./imSitu_aggregated_raw_prediction/adv-conv4/,class 52,0.0003338,0.003006,0.002672,0.00008081,0.002860,11.67
./imSitu_aggregated_raw_prediction/adv-conv4/,class 53,0.0003330,0.0003360,0.000003013,0.00005887,0.0001695,196.4
./imSitu_aggregated_raw_prediction/adv-conv4/,class 54,0.0003333,0.0003391,0.000005803,0.0001096,0.0001591,209.5
