,,max_diff,max,min,std_dev,mean,rel_maxdiff(%)
./imSitu_aggregated_raw_prediction/adv-conv4/,class  0,0.001000,0.01467,0.01367,0.0002602,0.01421,7.038
./imSitu_aggregated_raw_prediction/adv-conv4/,class  1,0,0.01133,0.01133,0,0.01133,0
./imSitu_aggregated_raw_prediction/adv-conv4/,class  2,0.0006667,0.01667,0.01600,0.0001863,0.01642,4.061
./imSitu_aggregated_raw_prediction/adv-conv4/,class  3,0.001333,0.005000,0.003667,0.0003947,0.004396,30.33
./imSitu_aggregated_raw_prediction/adv-conv4/,class  4,0.0003333,0.009667,0.009333,0.0001614,0.009458,3.524
./imSitu_aggregated_raw_prediction/adv-conv4/,class  5,0.0006667,0.01567,0.01500,0.0002031,0.01552,4.295
./imSitu_aggregated_raw_prediction/adv-conv4/,class  6,0.0003333,0.01133,0.01100,0.0001301,0.01127,2.957
./imSitu_aggregated_raw_prediction/adv-conv4/,class  7,0.0003333,0.006333,0.006000,0.00008069,0.006021,5.536
./imSitu_aggregated_raw_prediction/adv-conv4/,class  8,0.001000,0.009667,0.008667,0.0002756,0.009354,10.69
./imSitu_aggregated_raw_prediction/adv-conv4/,class  9,0,0.004667,0.004667,0,0.004667,0
./imSitu_aggregated_raw_prediction/adv-conv4/,class 10,0.001000,0.01100,0.01000,0.0002997,0.01035,9.658
./imSitu_aggregated_raw_prediction/adv-conv4/,class 11,0.0006667,0.01533,0.01467,0.0001179,0.01500,4.444
./imSitu_aggregated_raw_prediction/adv-conv4/,class 12,0.0006667,0.005333,0.004667,0.0002273,0.005104,13.06
./imSitu_aggregated_raw_prediction/adv-conv4/,class 13,0.001000,0.008000,0.007000,0.0003307,0.007375,13.56
./imSitu_aggregated_raw_prediction/adv-conv4/,class 14,0.0006667,0.007667,0.007000,0.0001998,0.007458,8.939
./imSitu_aggregated_raw_prediction/adv-conv4/,class 15,0.0003333,0.0003333,0,0.0001443,0.00008333,400
./imSitu_aggregated_raw_prediction/adv-conv4/,class 16,0.0003333,0.006000,0.005667,0.0001614,0.005875,5.674
./imSitu_aggregated_raw_prediction/adv-conv4/,class 17,0.001000,0.004000,0.003000,0.0002500,0.003583,27.91
./imSitu_aggregated_raw_prediction/adv-conv4/,class 18,0.0003333,0.003667,0.003333,0.0001301,0.003396,9.816
./imSitu_aggregated_raw_prediction/adv-conv4/,class 19,0.001000,0.01100,0.01000,0.0002635,0.01050,9.524
./imSitu_aggregated_raw_prediction/adv-conv4/,class 20,0.001000,0.006000,0.005000,0.0002491,0.005354,18.68
./imSitu_aggregated_raw_prediction/adv-conv4/,class 21,0.0003333,0.008333,0.008000,0.0001654,0.008146,4.092
./imSitu_aggregated_raw_prediction/adv-conv4/,class 22,0.001333,0.007000,0.005667,0.0003333,0.006333,21.05
./imSitu_aggregated_raw_prediction/adv-conv4/,class 23,0.001000,0.01200,0.01100,0.0002857,0.01137,8.791
./imSitu_aggregated_raw_prediction/adv-conv4/,class 24,0.0003333,0.009000,0.008667,0.0001654,0.008854,3.765
./imSitu_aggregated_raw_prediction/adv-conv4/,class 25,0.0003333,0.008000,0.007667,0.00008069,0.007688,4.336
./imSitu_aggregated_raw_prediction/adv-conv4/,class 26,0,0.003667,0.003667,1.301E-18,0.003667,0
./imSitu_aggregated_raw_prediction/adv-conv4/,class 27,0.001333,0.007333,0.006000,0.0003327,0.006854,19.45
./imSitu_aggregated_raw_prediction/adv-conv4/,class 28,0.001000,0.007333,0.006333,0.0002491,0.006979,14.33
./imSitu_aggregated_raw_prediction/adv-conv4/,class 29,0,0.002667,0.002667,0,0.002667,0
./imSitu_aggregated_raw_prediction/adv-conv4/,class 30,0.0003333,0.007333,0.007000,0.0001102,0.007042,4.734
./imSitu_aggregated_raw_prediction/adv-conv4/,class 31,0.0003333,0.001667,0.001333,0.0001301,0.001604,20.78
./imSitu_aggregated_raw_prediction/adv-conv4/,class 32,0.0006667,0.002333,0.001667,0.0001998,0.001958,34.04
./imSitu_aggregated_raw_prediction/adv-conv4/,class 33,0.0006667,0.005333,0.004667,0.0002041,0.004833,13.79
./imSitu_aggregated_raw_prediction/adv-conv4/,class 34,0.0003333,0.001333,0.001000,0.0001301,0.001063,31.37
./imSitu_aggregated_raw_prediction/adv-conv4/,class 35,0.001000,0.006000,0.005000,0.0002602,0.005625,17.78
./imSitu_aggregated_raw_prediction/adv-conv4/,class 36,0.001000,0.003667,0.002667,0.0002997,0.002979,33.57
./imSitu_aggregated_raw_prediction/adv-conv4/,class 37,0.0006667,0.0006667,0,0.0002041,0.0005000,133.3
