,,max_diff,max,min,std_dev,mean,rel_maxdiff(%)
./aggregated_raw_prediction/baseline/,class 0,0.01225,0.05589,0.04364,0.002931,0.04850,25.26
./aggregated_raw_prediction/baseline/,class 1,0.007448,0.02830,0.02085,0.001769,0.02353,31.65
./aggregated_raw_prediction/baseline/,class 2,0.02109,0.1098,0.08875,0.004813,0.1004,21.01
./aggregated_raw_prediction/baseline/,class 3,0.01817,0.1643,0.1461,0.004731,0.1542,11.79
./aggregated_raw_prediction/baseline/,class 4,0.01458,0.1239,0.1094,0.003437,0.1154,12.64
./aggregated_raw_prediction/baseline/,class 5,0.02423,0.09849,0.07427,0.006574,0.08793,27.55
./aggregated_raw_prediction/baseline/,class 6,0.008668,0.06609,0.05743,0.002686,0.06114,14.18
./aggregated_raw_prediction/baseline/,class 7,0.01238,0.07555,0.06318,0.002917,0.06698,18.48
./aggregated_raw_prediction/baseline/,class 8,0.01128,0.04715,0.03587,0.002848,0.04143,27.22
./aggregated_raw_prediction/baseline/,class 9,0.008155,0.04385,0.03570,0.001978,0.03913,20.84
./aggregated_raw_prediction/baseline/,overall,0.006904,0.07765,0.07075,0.001823,0.07386,9.348
./aggregated_raw_prediction/domain-discriminative/Max-of-prob-prior-shift/,class 0,0.01248,0.03277,0.02029,0.003291,0.02537,49.20
./aggregated_raw_prediction/domain-discriminative/Max-of-prob-prior-shift/,class 1,0.005970,0.01195,0.005982,0.001748,0.009457,63.13
./aggregated_raw_prediction/domain-discriminative/Max-of-prob-prior-shift/,class 2,0.01391,0.07221,0.05830,0.003942,0.06389,21.77
./aggregated_raw_prediction/domain-discriminative/Max-of-prob-prior-shift/,class 3,0.01857,0.1033,0.08475,0.005921,0.09333,19.90
./aggregated_raw_prediction/domain-discriminative/Max-of-prob-prior-shift/,class 4,0.01103,0.06501,0.05398,0.004081,0.06041,18.26
./aggregated_raw_prediction/domain-discriminative/Max-of-prob-prior-shift/,class 5,0.01324,0.05556,0.04232,0.004375,0.04817,27.47
./aggregated_raw_prediction/domain-discriminative/Max-of-prob-prior-shift/,class 6,0.008633,0.03600,0.02736,0.002472,0.03133,27.55
./aggregated_raw_prediction/domain-discriminative/Max-of-prob-prior-shift/,class 7,0.01312,0.04236,0.02923,0.003657,0.03553,36.94
./aggregated_raw_prediction/domain-discriminative/Max-of-prob-prior-shift/,class 8,0.008361,0.02146,0.01310,0.002255,0.01761,47.47
./aggregated_raw_prediction/domain-discriminative/Max-of-prob-prior-shift/,class 9,0.007044,0.02298,0.01593,0.002200,0.01885,37.37
./aggregated_raw_prediction/domain-discriminative/Max-of-prob-prior-shift/,overall,0.004512,0.04319,0.03868,0.001356,0.04040,11.17
./aggregated_raw_prediction/domain-discriminative/Sum-of-prob-no-prior-shift/,class 0,0.009323,0.06554,0.05622,0.003081,0.06070,15.36
