,,max_diff,max,min,std_dev,mean,rel_maxdiff(%)
./aggregated_raw_prediction/baseline/,class 0,0.04054,0.2011,0.1606,0.009704,0.1768,22.93
./aggregated_raw_prediction/baseline/,class 1,0.02707,0.1071,0.08008,0.006435,0.08988,30.11
./aggregated_raw_prediction/baseline/,class 2,0.05875,0.3602,0.3015,0.01340,0.3343,17.57
./aggregated_raw_prediction/baseline/,class 3,0.04234,0.4946,0.4523,0.01104,0.4713,8.985
./aggregated_raw_prediction/baseline/,class 4,0.03836,0.3973,0.3589,0.009036,0.3749,10.23
./aggregated_raw_prediction/baseline/,class 5,0.07048,0.3291,0.2587,0.01914,0.2989,23.58
./aggregated_raw_prediction/baseline/,class 6,0.02747,0.2335,0.2060,0.008518,0.2179,12.61
./aggregated_raw_prediction/baseline/,class 7,0.03819,0.2625,0.2244,0.009014,0.2362,16.16
./aggregated_raw_prediction/baseline/,class 8,0.03846,0.1724,0.1339,0.009718,0.1530,25.14
./aggregated_raw_prediction/baseline/,class 9,0.02799,0.1613,0.1333,0.006786,0.1451,19.28
./aggregated_raw_prediction/baseline/,overall,0.02045,0.2609,0.2404,0.005283,0.2498,8.187
./aggregated_raw_prediction/domain-discriminative/Max-of-prob-prior-shift/,class 0,0.04503,0.1230,0.07801,0.01189,0.09650,46.66
./aggregated_raw_prediction/domain-discriminative/Max-of-prob-prior-shift/,class 1,0.02305,0.04669,0.02365,0.006738,0.03710,62.12
./aggregated_raw_prediction/domain-discriminative/Max-of-prob-prior-shift/,class 2,0.04354,0.2524,0.2088,0.01238,0.2265,19.22
./aggregated_raw_prediction/domain-discriminative/Max-of-prob-prior-shift/,class 3,0.05264,0.3425,0.2899,0.01682,0.3144,16.74
./aggregated_raw_prediction/domain-discriminative/Max-of-prob-prior-shift/,class 4,0.03523,0.2301,0.1949,0.01303,0.2155,16.35
./aggregated_raw_prediction/domain-discriminative/Max-of-prob-prior-shift/,class 5,0.04393,0.2000,0.1561,0.01453,0.1756,25.01
./aggregated_raw_prediction/domain-discriminative/Max-of-prob-prior-shift/,class 6,0.03054,0.1343,0.1038,0.008732,0.1179,25.91
./aggregated_raw_prediction/domain-discriminative/Max-of-prob-prior-shift/,class 7,0.04573,0.1562,0.1105,0.01275,0.1326,34.48
./aggregated_raw_prediction/domain-discriminative/Max-of-prob-prior-shift/,class 8,0.03125,0.08231,0.05106,0.008421,0.06802,45.94
./aggregated_raw_prediction/domain-discriminative/Max-of-prob-prior-shift/,class 9,0.02611,0.08787,0.06176,0.008160,0.07263,35.94
./aggregated_raw_prediction/domain-discriminative/Max-of-prob-prior-shift/,overall,0.01527,0.1551,0.1398,0.004446,0.1457,10.48
./aggregated_raw_prediction/domain-discriminative/Sum-of-prob-no-prior-shift/,class 0,0.02964,0.2318,0.2022,0.009790,0.2165,13.69
./aggregated_raw_prediction/domain-discriminative/Sum-of-prob-no-prior-shift/,class 1,0.01930,0.1210,0.1017,0.005853,0.1116,17.29
./aggregated_raw_prediction/domain-discriminative/Sum-of-prob-no-prior-shift/,class 2,0.03697,0.4112,0.3742,0.01107,0.3893,9.497
./aggregated_raw_prediction/domain-discriminative/Sum-of-prob-no-prior-shift/,class 3,0.03734,0.5533,0.5160,0.01159,0.5356,6.972
./aggregated_raw_prediction/domain-discriminative/Sum-of-prob-no-prior-shift/,class 4,0.05364,0.4326,0.3789,0.01686,0.4051,13.24
./aggregated_raw_prediction/domain-discriminative/Sum-of-prob-no-prior-shift/,class 5,0.05448,0.3647,0.3103,0.01546,0.3397,16.04
./aggregated_raw_prediction/domain-discriminative/Sum-of-prob-no-prior-shift/,class 6,0.03099,0.2581,0.2271,0.01061,0.2448,12.66
./aggregated_raw_prediction/domain-discriminative/Sum-of-prob-no-prior-shift/,class 7,0.03729,0.2814,0.2441,0.01162,0.2640,14.12
./aggregated_raw_prediction/domain-discriminative/Sum-of-prob-no-prior-shift/,class 8,0.03362,0.1929,0.1592,0.01009,0.1768,19.01
./aggregated_raw_prediction/domain-discriminative/Sum-of-prob-no-prior-shift/,class 9,0.04552,0.2004,0.1548,0.01059,0.1733,26.26
./aggregated_raw_prediction/domain-discriminative/Sum-of-prob-no-prior-shift/,overall,0.02251,0.2989,0.2764,0.006438,0.2857,7.879
./aggregated_raw_prediction/domain-discriminative/Sum-of-prob-prior-shift/,class 0,0.04397,0.1229,0.07895,0.01161,0.09717,45.25
./aggregated_raw_prediction/domain-discriminative/Sum-of-prob-prior-shift/,class 1,0.02305,0.04669,0.02365,0.006942,0.03691,62.44
./aggregated_raw_prediction/domain-discriminative/Sum-of-prob-prior-shift/,class 2,0.04411,0.2517,0.2076,0.01274,0.2262,19.50
./aggregated_raw_prediction/domain-discriminative/Sum-of-prob-prior-shift/,class 3,0.05691,0.3425,0.2856,0.01742,0.3130,18.18
./aggregated_raw_prediction/domain-discriminative/Sum-of-prob-prior-shift/,class 4,0.03417,0.2301,0.1960,0.01240,0.2159,15.82
./aggregated_raw_prediction/domain-discriminative/Sum-of-prob-prior-shift/,class 5,0.04466,0.2015,0.1569,0.01435,0.1767,25.27
./aggregated_raw_prediction/domain-discriminative/Sum-of-prob-prior-shift/,class 6,0.03146,0.1352,0.1038,0.008740,0.1173,26.83
./aggregated_raw_prediction/domain-discriminative/Sum-of-prob-prior-shift/,class 7,0.04668,0.1571,0.1105,0.01296,0.1324,35.26
./aggregated_raw_prediction/domain-discriminative/Sum-of-prob-prior-shift/,class 8,0.03215,0.08412,0.05197,0.008733,0.06799,47.28
./aggregated_raw_prediction/domain-discriminative/Sum-of-prob-prior-shift/,class 9,0.02862,0.08961,0.06099,0.008569,0.07291,39.26
./aggregated_raw_prediction/domain-discriminative/Sum-of-prob-prior-shift/,overall,0.01371,0.1546,0.1409,0.004436,0.1457,9.416
./aggregated_raw_prediction/domain-discriminative/rba/,class 0,0.04040,0.2055,0.1651,0.01179,0.1773,22.79
./aggregated_raw_prediction/domain-discriminative/rba/,class 1,0.02088,0.1247,0.1038,0.006167,0.1132,18.44
./aggregated_raw_prediction/domain-discriminative/rba/,class 2,0.06809,0.2416,0.1735,0.01667,0.2151,31.66
