,,max_diff,max,min,std_dev,mean,rel_maxdiff(%)
./aggregated_raw_prediction/baseline/,class 0,0.03300,0.1000,0.06700,0.007890,0.08100,40.74
./aggregated_raw_prediction/baseline/,class 1,0.02000,0.06100,0.04100,0.005199,0.04681,42.72
./aggregated_raw_prediction/baseline/,class 2,0.03600,0.1670,0.1310,0.01001,0.1506,23.90
./aggregated_raw_prediction/baseline/,class 3,0.03400,0.2630,0.2290,0.01009,0.2459,13.83
./aggregated_raw_prediction/baseline/,class 4,0.03600,0.1990,0.1630,0.008810,0.1859,19.37
./aggregated_raw_prediction/baseline/,class 5,0.04600,0.1980,0.1520,0.01159,0.1706,26.97
./aggregated_raw_prediction/baseline/,class 6,0.02800,0.1160,0.08800,0.008866,0.1016,27.55
./aggregated_raw_prediction/baseline/,class 7,0.02300,0.1490,0.1260,0.006010,0.1344,17.11
./aggregated_raw_prediction/baseline/,class 8,0.01700,0.07900,0.06200,0.005243,0.06937,24.50
./aggregated_raw_prediction/baseline/,class 9,0.02200,0.08000,0.05800,0.005979,0.06844,32.15
./aggregated_raw_prediction/baseline/,overall,0.01030,0.1301,0.1198,0.003085,0.1255,8.210
./aggregated_raw_prediction/domain-discriminative/Max-of-prob-prior-shift/,class 0,0.03100,0.05900,0.02800,0.007297,0.03956,78.36
./aggregated_raw_prediction/domain-discriminative/Max-of-prob-prior-shift/,class 1,0.01500,0.03000,0.01500,0.004626,0.02381,62.99
./aggregated_raw_prediction/domain-discriminative/Max-of-prob-prior-shift/,class 2,0.04100,0.1120,0.07100,0.01134,0.08581,47.78
./aggregated_raw_prediction/domain-discriminative/Max-of-prob-prior-shift/,class 3,0.03600,0.1950,0.1590,0.01047,0.1748,20.60
./aggregated_raw_prediction/domain-discriminative/Max-of-prob-prior-shift/,class 4,0.05100,0.1060,0.05500,0.01180,0.08550,59.65
./aggregated_raw_prediction/domain-discriminative/Max-of-prob-prior-shift/,class 5,0.04000,0.1370,0.09700,0.01030,0.1112,35.98
./aggregated_raw_prediction/domain-discriminative/Max-of-prob-prior-shift/,class 6,0.01700,0.04800,0.03100,0.004554,0.04212,40.36
./aggregated_raw_prediction/domain-discriminative/Max-of-prob-prior-shift/,class 7,0.03300,0.1000,0.06700,0.009339,0.08069,40.90
./aggregated_raw_prediction/domain-discriminative/Max-of-prob-prior-shift/,class 8,0.03000,0.04200,0.01200,0.007770,0.02844,105.5
./aggregated_raw_prediction/domain-discriminative/Max-of-prob-prior-shift/,class 9,0.02000,0.04800,0.02800,0.005339,0.03850,51.95
./aggregated_raw_prediction/domain-discriminative/Max-of-prob-prior-shift/,overall,0.01360,0.07870,0.06510,0.003580,0.07104,19.14
./aggregated_raw_prediction/domain-discriminative/Sum-of-prob-no-prior-shift/,class 0,0.03800,0.1260,0.08800,0.009580,0.1048,36.26
./aggregated_raw_prediction/domain-discriminative/Sum-of-prob-no-prior-shift/,class 1,0.01400,0.07000,0.05600,0.004416,0.06150,22.76
./aggregated_raw_prediction/domain-discriminative/Sum-of-prob-no-prior-shift/,class 2,0.03300,0.1970,0.1640,0.01068,0.1827,18.06
./aggregated_raw_prediction/domain-discriminative/Sum-of-prob-no-prior-shift/,class 3,0.05300,0.3220,0.2690,0.01288,0.3026,17.52
./aggregated_raw_prediction/domain-discriminative/Sum-of-prob-no-prior-shift/,class 4,0.06400,0.2320,0.1680,0.01826,0.2008,31.87
./aggregated_raw_prediction/domain-discriminative/Sum-of-prob-no-prior-shift/,class 5,0.04400,0.2290,0.1850,0.01218,0.2033,21.64
./aggregated_raw_prediction/domain-discriminative/Sum-of-prob-no-prior-shift/,class 6,0.02600,0.1210,0.09500,0.007524,0.1101,23.61
./aggregated_raw_prediction/domain-discriminative/Sum-of-prob-no-prior-shift/,class 7,0.03600,0.1770,0.1410,0.01058,0.1576,22.84
./aggregated_raw_prediction/domain-discriminative/Sum-of-prob-no-prior-shift/,class 8,0.03200,0.09300,0.06100,0.008651,0.07869,40.67
./aggregated_raw_prediction/domain-discriminative/Sum-of-prob-no-prior-shift/,class 9,0.03400,0.1030,0.06900,0.008027,0.08594,39.56
./aggregated_raw_prediction/domain-discriminative/Sum-of-prob-no-prior-shift/,overall,0.02050,0.1606,0.1401,0.005350,0.1488,13.78
./aggregated_raw_prediction/domain-discriminative/Sum-of-prob-prior-shift/,class 0,0.02900,0.05800,0.02900,0.007058,0.03975,72.96
./aggregated_raw_prediction/domain-discriminative/Sum-of-prob-prior-shift/,class 1,0.01500,0.03000,0.01500,0.004636,0.02356,63.66
./aggregated_raw_prediction/domain-discriminative/Sum-of-prob-prior-shift/,class 2,0.04100,0.1120,0.07100,0.01149,0.08600,47.67
./aggregated_raw_prediction/domain-discriminative/Sum-of-prob-prior-shift/,class 3,0.03600,0.1940,0.1580,0.01046,0.1730,20.81
