,,max_diff,max,min,std_dev,mean,rel_maxdiff(%)
./aggregated_raw_prediction/baseline/,class 0,0.002000,0.006850,0.004850,0.0004597,0.005641,35.46
./aggregated_raw_prediction/baseline/,class 1,0.0008500,0.002800,0.001950,0.0002565,0.002387,35.60
./aggregated_raw_prediction/baseline/,class 2,0.003750,0.01405,0.01030,0.0008900,0.01233,30.42
./aggregated_raw_prediction/baseline/,class 3,0.004300,0.02130,0.01700,0.001117,0.01960,21.94
./aggregated_raw_prediction/baseline/,class 4,0.002800,0.01650,0.01370,0.0008012,0.01473,19.01
./aggregated_raw_prediction/baseline/,class 5,0.003800,0.01040,0.006600,0.0009073,0.008238,46.13
./aggregated_raw_prediction/baseline/,class 6,0.001600,0.008050,0.006450,0.0004344,0.007172,22.31
./aggregated_raw_prediction/baseline/,class 7,0.001750,0.007200,0.005450,0.0004747,0.006272,27.90
./aggregated_raw_prediction/baseline/,class 8,0.001700,0.005750,0.004050,0.0004015,0.004894,34.74
./aggregated_raw_prediction/baseline/,class 9,0.001100,0.005000,0.003900,0.0002988,0.004384,25.09
./aggregated_raw_prediction/baseline/,overall,0.0009250,0.009125,0.008200,0.0002527,0.008564,10.80
./aggregated_raw_prediction/domain-discriminative/Max-of-prob-prior-shift/,class 0,0.001400,0.003750,0.002350,0.0004486,0.003144,44.53
./aggregated_raw_prediction/domain-discriminative/Max-of-prob-prior-shift/,class 1,0.0006000,0.0009500,0.0003500,0.0002007,0.0007063,84.96
./aggregated_raw_prediction/domain-discriminative/Max-of-prob-prior-shift/,class 2,0.001950,0.009350,0.007400,0.0004812,0.008431,23.13
./aggregated_raw_prediction/domain-discriminative/Max-of-prob-prior-shift/,class 3,0.002150,0.01105,0.008900,0.0007354,0.009884,21.75
./aggregated_raw_prediction/domain-discriminative/Max-of-prob-prior-shift/,class 4,0.002050,0.009350,0.007300,0.0006569,0.008331,24.61
./aggregated_raw_prediction/domain-discriminative/Max-of-prob-prior-shift/,class 5,0.001950,0.004900,0.002950,0.0005889,0.003666,53.20
./aggregated_raw_prediction/domain-discriminative/Max-of-prob-prior-shift/,class 6,0.001800,0.005050,0.003250,0.0004426,0.004269,42.17
./aggregated_raw_prediction/domain-discriminative/Max-of-prob-prior-shift/,class 7,0.001000,0.003350,0.002350,0.0003177,0.002850,35.09
./aggregated_raw_prediction/domain-discriminative/Max-of-prob-prior-shift/,class 8,0.0007500,0.002550,0.001800,0.0002414,0.002137,35.09
./aggregated_raw_prediction/domain-discriminative/Max-of-prob-prior-shift/,class 9,0.001600,0.002550,0.0009500,0.0003561,0.001831,87.37
./aggregated_raw_prediction/domain-discriminative/Max-of-prob-prior-shift/,overall,0.0006750,0.004850,0.004175,0.0001702,0.004525,14.92
./aggregated_raw_prediction/domain-discriminative/Sum-of-prob-no-prior-shift/,class 0,0.001450,0.007750,0.006300,0.0004138,0.006922,20.95
./aggregated_raw_prediction/domain-discriminative/Sum-of-prob-no-prior-shift/,class 1,0.0005500,0.003100,0.002550,0.0001846,0.002825,19.47
./aggregated_raw_prediction/domain-discriminative/Sum-of-prob-no-prior-shift/,class 2,0.002550,0.01630,0.01375,0.0007026,0.01496,17.04
./aggregated_raw_prediction/domain-discriminative/Sum-of-prob-no-prior-shift/,class 3,0.004050,0.02410,0.02005,0.001221,0.02244,18.05
./aggregated_raw_prediction/domain-discriminative/Sum-of-prob-no-prior-shift/,class 4,0.002850,0.01785,0.01500,0.0007967,0.01655,17.22
./aggregated_raw_prediction/domain-discriminative/Sum-of-prob-no-prior-shift/,class 5,0.002550,0.01040,0.007850,0.0007907,0.009084,28.07
./aggregated_raw_prediction/domain-discriminative/Sum-of-prob-no-prior-shift/,class 6,0.001650,0.009450,0.007800,0.0005267,0.008631,19.12
./aggregated_raw_prediction/domain-discriminative/Sum-of-prob-no-prior-shift/,class 7,0.001700,0.007600,0.005900,0.0004287,0.006791,25.03
./aggregated_raw_prediction/domain-discriminative/Sum-of-prob-no-prior-shift/,class 8,0.001300,0.006350,0.005050,0.0003062,0.005922,21.95
./aggregated_raw_prediction/domain-discriminative/Sum-of-prob-no-prior-shift/,class 9,0.001500,0.005950,0.004450,0.0004258,0.005159,29.07
./aggregated_raw_prediction/domain-discriminative/Sum-of-prob-no-prior-shift/,overall,0.0008900,0.01036,0.009470,0.0002319,0.009928,8.964
./aggregated_raw_prediction/domain-discriminative/Sum-of-prob-prior-shift/,class 0,0.001450,0.003800,0.002350,0.0004458,0.003172,45.71
./aggregated_raw_prediction/domain-discriminative/Sum-of-prob-prior-shift/,class 1,0.0006500,0.0009500,0.0003000,0.0002048,0.0007094,91.63
./aggregated_raw_prediction/domain-discriminative/Sum-of-prob-prior-shift/,class 2,0.002050,0.009300,0.007250,0.0005013,0.008391,24.43
./aggregated_raw_prediction/domain-discriminative/Sum-of-prob-prior-shift/,class 3,0.002350,0.01115,0.008800,0.0007853,0.009897,23.74
./aggregated_raw_prediction/domain-discriminative/Sum-of-prob-prior-shift/,class 4,0.002000,0.009300,0.007300,0.0006412,0.008334,24.00
./aggregated_raw_prediction/domain-discriminative/Sum-of-prob-prior-shift/,class 5,0.001950,0.004950,0.003000,0.0005956,0.003725,52.35
./aggregated_raw_prediction/domain-discriminative/Sum-of-prob-prior-shift/,class 6,0.001800,0.005050,0.003250,0.0004228,0.004225,42.60
./aggregated_raw_prediction/domain-discriminative/Sum-of-prob-prior-shift/,class 7,0.001000,0.003350,0.002350,0.0003196,0.002869,34.86
./aggregated_raw_prediction/domain-discriminative/Sum-of-prob-prior-shift/,class 8,0.0009000,0.002650,0.001750,0.0002823,0.002128,42.29
./aggregated_raw_prediction/domain-discriminative/Sum-of-prob-prior-shift/,class 9,0.001700,0.002650,0.0009500,0.0003686,0.001856,91.58
./aggregated_raw_prediction/domain-discriminative/Sum-of-prob-prior-shift/,overall,0.0006700,0.004860,0.004190,0.0001719,0.004531,14.79
./aggregated_raw_prediction/domain-discriminative/rba/,class 0,0.002600,0.007250,0.004650,0.0007583,0.005941,43.77
./aggregated_raw_prediction/domain-discriminative/rba/,class 1,0.0009500,0.003650,0.002700,0.0002468,0.003106,30.58
./aggregated_raw_prediction/domain-discriminative/rba/,class 2,0.003700,0.01010,0.006400,0.0007762,0.008466,43.71
./aggregated_raw_prediction/domain-discriminative/rba/,class 3,0.002900,0.01265,0.009750,0.0009288,0.01101,26.33
./aggregated_raw_prediction/domain-discriminative/rba/,class 4,0.002700,0.01005,0.007350,0.0007854,0.008644,31.24
./aggregated_raw_prediction/domain-discriminative/rba/,class 5,0.003150,0.008150,0.005000,0.0007581,0.006219,50.65
./aggregated_raw_prediction/domain-discriminative/rba/,class 6,0.001900,0.007700,0.005800,0.0005472,0.007009,27.11
./aggregated_raw_prediction/domain-discriminative/rba/,class 7,0.001550,0.006200,0.004650,0.0004709,0.005234,29.61
./aggregated_raw_prediction/domain-discriminative/rba/,class 8,0.001450,0.007100,0.005650,0.0003976,0.006350,22.83
./aggregated_raw_prediction/domain-discriminative/rba/,class 9,0.001300,0.006150,0.004850,0.0003770,0.005706,22.78
./aggregated_raw_prediction/domain-discriminative/rba/,overall,0.0004350,0.007060,0.006625,0.0001086,0.006769,6.427
./aggregated_raw_prediction/domain-independent/Conditional/,class 0,0.001800,0.005750,0.003950,0.0004330,0.004869,36.97
./aggregated_raw_prediction/domain-independent/Conditional/,class 1,0.001250,0.002500,0.001250,0.0002999,0.001894,66.01
./aggregated_raw_prediction/domain-independent/Conditional/,class 2,0.001950,0.01330,0.01135,0.0005565,0.01213,16.07
./aggregated_raw_prediction/domain-independent/Conditional/,class 3,0.003150,0.02050,0.01735,0.0009239,0.01908,16.51
./aggregated_raw_prediction/domain-independent/Conditional/,class 4,0.001900,0.01405,0.01215,0.0006284,0.01297,14.65
./aggregated_raw_prediction/domain-independent/Conditional/,class 5,0.001850,0.008600,0.006750,0.0004503,0.007731,23.93
./aggregated_raw_prediction/domain-independent/Conditional/,class 6,0.001250,0.006700,0.005450,0.0003088,0.006109,20.46
./aggregated_raw_prediction/domain-independent/Conditional/,class 7,0.001450,0.006000,0.004550,0.0004102,0.005212,27.82
./aggregated_raw_prediction/domain-independent/Conditional/,class 8,0.001000,0.004650,0.003650,0.0003156,0.004084,24.48
./aggregated_raw_prediction/domain-independent/Conditional/,class 9,0.001100,0.003750,0.002650,0.0002806,0.003369,32.65
./aggregated_raw_prediction/domain-independent/Conditional/,overall,0.0007400,0.008190,0.007450,0.0001917,0.007745,9.555
./aggregated_raw_prediction/domain-independent/Sum/,class 0,0.0007000,0.0007000,0,0.0001714,0.0002000,350.0
./aggregated_raw_prediction/domain-independent/Sum/,class 1,0.0003500,0.0003500,0,0.0001179,0.0001625,215.4
./aggregated_raw_prediction/domain-independent/Sum/,class 2,0.001050,0.001400,0.0003500,0.0002909,0.0007437,141.2
./aggregated_raw_prediction/domain-independent/Sum/,class 3,0.001650,0.002700,0.001050,0.0004427,0.002041,80.86
./aggregated_raw_prediction/domain-independent/Sum/,class 4,0.001350,0.001650,0.0003000,0.0003925,0.001019,132.5
./aggregated_raw_prediction/domain-independent/Sum/,class 5,0.0007500,0.0007500,0,0.0002170,0.0003344,224.3
./aggregated_raw_prediction/domain-independent/Sum/,class 6,0.0008000,0.0008500,0.00005000,0.0002229,0.0003750,213.3
./aggregated_raw_prediction/domain-independent/Sum/,class 7,0.0009000,0.0009000,0,0.0001986,0.0005094,176.7
./aggregated_raw_prediction/domain-independent/Sum/,class 8,0.0005000,0.0008000,0.0003000,0.0001968,0.0005562,89.89
./aggregated_raw_prediction/domain-independent/Sum/,class 9,0.0004500,0.0004500,0,0.0001262,0.0001781,252.6
./aggregated_raw_prediction/domain-independent/Sum/,overall,0.0002700,0.0007200,0.0004500,0.00007485,0.0006119,44.13
./aggregated_raw_prediction/gradproj-adv/,class 0,0.01100,0.01270,0.001700,0.002834,0.007272,151.3
./aggregated_raw_prediction/gradproj-adv/,class 1,0.002950,0.003250,0.0003000,0.0007767,0.001891,156.0
./aggregated_raw_prediction/gradproj-adv/,class 2,0.02135,0.03000,0.008650,0.005075,0.01609,132.7
./aggregated_raw_prediction/gradproj-adv/,class 3,0.02545,0.02850,0.003050,0.006509,0.01859,136.9
./aggregated_raw_prediction/gradproj-adv/,class 4,0.01705,0.02845,0.01140,0.004194,0.01829,93.23
./aggregated_raw_prediction/gradproj-adv/,class 5,0.01075,0.01670,0.005950,0.002370,0.01073,100.1
./aggregated_raw_prediction/gradproj-adv/,class 6,0.01900,0.02255,0.003550,0.004082,0.008894,213.6
./aggregated_raw_prediction/gradproj-adv/,class 7,0.006300,0.01045,0.004150,0.002125,0.006625,95.09
./aggregated_raw_prediction/gradproj-adv/,class 8,0.005350,0.008750,0.003400,0.001288,0.005934,90.15
./aggregated_raw_prediction/gradproj-adv/,class 9,0.003350,0.007000,0.003650,0.0009484,0.005200,64.42
./aggregated_raw_prediction/gradproj-adv/,overall,0.005275,0.01202,0.006745,0.001593,0.009952,53.00
./aggregated_raw_prediction/sampling/,class 0,0.001750,0.005850,0.004100,0.0005456,0.005003,34.98
./aggregated_raw_prediction/sampling/,class 1,0.001100,0.002450,0.001350,0.0002954,0.002059,53.41
./aggregated_raw_prediction/sampling/,class 2,0.002700,0.01390,0.01120,0.0007508,0.01273,21.21
./aggregated_raw_prediction/sampling/,class 3,0.003100,0.02120,0.01810,0.0009259,0.01931,16.05
./aggregated_raw_prediction/sampling/,class 4,0.002500,0.01405,0.01155,0.0006612,0.01226,20.40
./aggregated_raw_prediction/sampling/,class 5,0.001850,0.009500,0.007650,0.0005576,0.008819,20.98
./aggregated_raw_prediction/sampling/,class 6,0.002250,0.008800,0.006550,0.0005186,0.008134,27.66
./aggregated_raw_prediction/sampling/,class 7,0.002100,0.007150,0.005050,0.0006022,0.005853,35.88
./aggregated_raw_prediction/sampling/,class 8,0.001250,0.004100,0.002850,0.0003311,0.003544,35.27
./aggregated_raw_prediction/sampling/,class 9,0.001300,0.004150,0.002850,0.0003729,0.003322,39.13
./aggregated_raw_prediction/sampling/,overall,0.0009350,0.008480,0.007545,0.0002336,0.008103,11.54
./aggregated_raw_prediction/uniconf-adv/,class 0,0.009600,0.01550,0.005900,0.002878,0.009706,98.91
./aggregated_raw_prediction/uniconf-adv/,class 1,0.004400,0.005950,0.001550,0.001027,0.002819,156.1
./aggregated_raw_prediction/uniconf-adv/,class 2,0.01040,0.02435,0.01395,0.003293,0.01826,56.95
./aggregated_raw_prediction/uniconf-adv/,class 3,0.01320,0.03350,0.02030,0.003147,0.02710,48.70
./aggregated_raw_prediction/uniconf-adv/,class 4,0.01120,0.02670,0.01550,0.003288,0.01998,56.04
./aggregated_raw_prediction/uniconf-adv/,class 5,0.007900,0.01515,0.007250,0.002411,0.01086,72.75
./aggregated_raw_prediction/uniconf-adv/,class 6,0.006150,0.01230,0.006150,0.001709,0.009184,66.96
./aggregated_raw_prediction/uniconf-adv/,class 7,0.01005,0.01415,0.004100,0.002440,0.007116,141.2
./aggregated_raw_prediction/uniconf-adv/,class 8,0.009400,0.01270,0.003300,0.002233,0.007309,128.6
./aggregated_raw_prediction/uniconf-adv/,class 9,0.006300,0.01020,0.003900,0.001459,0.006434,97.91
./aggregated_raw_prediction/uniconf-adv/,overall,0.002300,0.01296,0.01066,0.0006629,0.01188,19.36
