,,max_diff,max,min,std_dev,mean,rel_maxdiff(%)
./aggregated_raw_prediction/baseline/,class 0,0.002300,0.01105,0.008750,0.0005602,0.009691,23.73
./aggregated_raw_prediction/baseline/,class 1,0.001500,0.005700,0.004200,0.0003614,0.004728,31.73
./aggregated_raw_prediction/baseline/,class 2,0.004750,0.02210,0.01735,0.001057,0.01986,23.92
./aggregated_raw_prediction/baseline/,class 3,0.004800,0.03435,0.02955,0.001197,0.03189,15.05
./aggregated_raw_prediction/baseline/,class 4,0.003150,0.02620,0.02305,0.0008054,0.02402,13.11
./aggregated_raw_prediction/baseline/,class 5,0.004200,0.01840,0.01420,0.001224,0.01677,25.05
./aggregated_raw_prediction/baseline/,class 6,0.001900,0.01345,0.01155,0.0005363,0.01225,15.51
./aggregated_raw_prediction/baseline/,class 7,0.002400,0.01465,0.01225,0.0005662,0.01299,18.47
./aggregated_raw_prediction/baseline/,class 8,0.002350,0.009600,0.007250,0.0005896,0.008362,28.10
./aggregated_raw_prediction/baseline/,class 9,0.001650,0.008700,0.007050,0.0003988,0.007806,21.14
./aggregated_raw_prediction/baseline/,overall,0.001410,0.01562,0.01421,0.0003719,0.01484,9.503
./aggregated_raw_prediction/domain-discriminative/Max-of-prob-prior-shift/,class 0,0.002500,0.006650,0.004150,0.0006567,0.005122,48.81
./aggregated_raw_prediction/domain-discriminative/Max-of-prob-prior-shift/,class 1,0.001200,0.002400,0.001200,0.0003493,0.001897,63.26
./aggregated_raw_prediction/domain-discriminative/Max-of-prob-prior-shift/,class 2,0.002800,0.01450,0.01170,0.0007874,0.01272,22.01
./aggregated_raw_prediction/domain-discriminative/Max-of-prob-prior-shift/,class 3,0.003550,0.02055,0.01700,0.001178,0.01862,19.06
./aggregated_raw_prediction/domain-discriminative/Max-of-prob-prior-shift/,class 4,0.002600,0.01375,0.01115,0.0008665,0.01261,20.62
./aggregated_raw_prediction/domain-discriminative/Max-of-prob-prior-shift/,class 5,0.002600,0.01065,0.008050,0.0008176,0.009225,28.18
./aggregated_raw_prediction/domain-discriminative/Max-of-prob-prior-shift/,class 6,0.001850,0.007350,0.005500,0.0005166,0.006375,29.02
./aggregated_raw_prediction/domain-discriminative/Max-of-prob-prior-shift/,class 7,0.002500,0.008200,0.005700,0.0006959,0.006884,36.31
./aggregated_raw_prediction/domain-discriminative/Max-of-prob-prior-shift/,class 8,0.001700,0.004350,0.002650,0.0004546,0.003559,47.76
./aggregated_raw_prediction/domain-discriminative/Max-of-prob-prior-shift/,class 9,0.001450,0.004600,0.003150,0.0004444,0.003756,38.60
./aggregated_raw_prediction/domain-discriminative/Max-of-prob-prior-shift/,overall,0.0009200,0.008640,0.007720,0.0002749,0.008077,11.39
./aggregated_raw_prediction/domain-discriminative/Sum-of-prob-no-prior-shift/,class 0,0.001800,0.01305,0.01125,0.0005846,0.01216,14.80
./aggregated_raw_prediction/domain-discriminative/Sum-of-prob-no-prior-shift/,class 1,0.001100,0.006450,0.005350,0.0003260,0.005900,18.64
./aggregated_raw_prediction/domain-discriminative/Sum-of-prob-no-prior-shift/,class 2,0.003200,0.02615,0.02295,0.0009881,0.02410,13.28
