,,Overall (%),,,,,Per-class (%),,,,
Technique,Metric,Mean,Max,Min,MaxDiff,STDEV,Mean,Max,Min,MaxDiff,STDEV
S-Base,DP,3.0,3.1,2.8,0.3,<0.1,6.4,6.9,5.9,1.0,0.2
,DI bar,25.0,26.1,24.0,2.0,0.5,29.9,32.9,25.9,7.0,1.9
,SPSF,1.5,1.6,1.4,0.1,<0.1,3.2,3.4,3.0,0.5,0.1
,FPSF,0.9,0.9,0.8,<0.1,<0.1,2.0,2.1,1.7,0.4,0.1
,EOFP,1.9,2.0,1.8,0.2,<0.1,4.4,4.7,3.8,1.0,0.2
,EOTP,12.6,13.0,12.0,1.0,0.3,17.1,19.8,15.2,4.6,1.2
,BA,7.4,7.8,7.1,0.7,0.2,8.8,9.8,7.4,2.4,0.7
S-RS,DP,2.8,2.9,2.7,0.3,<0.1,4.1,4.5,3.7,0.8,0.2
,DI bar,23.7,24.7,22.8,2.0,0.5,34.0,37.6,31.7,5.8,1.2
,SPSF,1.4,1.5,1.3,0.1,<0.1,2.1,2.3,1.9,0.4,<0.1
,FPSF,0.8,0.8,0.8,<0.1,<0.1,1.9,2.1,1.8,0.3,<0.1
,EOFP,1.8,1.9,1.7,0.2,<0.1,4.3,4.7,4.0,0.7,0.2
,EOTP,11.9,12.5,11.1,1.3,0.3,15.5,18.8,13.4,5.4,1.3
,BA,7.0,7.4,6.7,0.7,0.2,10.2,11.6,9.4,2.1,0.5
S-UC,DP,4.1,4.5,3.7,0.8,0.2,6.2,7.5,4.7,2.8,0.8
,DI bar,32.9,35.4,30.3,5.1,1.7,44.9,54.9,36.5,18.4,4.6
,SPSF,2.1,2.3,1.9,0.4,0.1,3.1,3.7,2.4,1.4,0.4
,FPSF,1.2,1.3,1.1,0.2,<0.1,2.7,3.4,2.0,1.3,0.3
,EOFP,2.6,2.9,2.4,0.5,0.1,6.0,7.4,4.5,2.9,0.7
,EOTP,17.6,19.1,15.8,3.3,1.1,21.8,33.0,16.2,16.8,5.3
,BA,10.2,11.2,9.3,2.0,0.6,14.5,18.9,11.2,7.8,2.0
S-GR,DP,3.5,4.2,2.5,1.7,0.5,6.4,8.8,1.6,7.3,1.9
,DI bar,28.5,33.1,21.3,11.8,3.5,46.2,62.1,11.9,50.1,12.7
,SPSF,1.7,2.1,1.2,0.9,0.3,3.2,4.4,0.8,3.6,1.0
,FPSF,1.0,1.2,0.7,0.5,0.2,1.9,2.9,0.3,2.5,0.7
,EOFP,2.2,2.7,1.5,1.2,0.4,4.1,6.3,0.7,5.7,1.4
,EOTP,14.9,17.8,10.6,7.2,2.0,26.5,44.0,9.4,34.6,8.1
,BA,8.7,10.3,6.1,4.2,1.3,15.4,22.5,3.2,19.3,5.0
S-DD1,DP,3.5,3.7,3.3,0.3,<0.1,5.3,5.8,4.9,0.9,0.3
,DI bar,28.6,29.9,27.6,2.3,0.6,34.0,36.5,31.0,5.4,1.5
,SPSF,1.7,1.8,1.7,0.2,<0.1,2.7,2.9,2.5,0.4,0.1
