,,max_diff,max,min,std_dev,mean,rel_maxdiff(%)
./aggregated_raw_prediction/baseline/,class 0,0.07252,1.252,1.179,0.01643,1.216,5.966
./aggregated_raw_prediction/baseline/,class 1,0.03585,0.9287,0.8929,0.007248,0.9105,3.938
./aggregated_raw_prediction/baseline/,class 2,0.1335,1.565,1.432,0.03026,1.505,8.873
./aggregated_raw_prediction/baseline/,class 3,0.04234,0.5477,0.5054,0.01066,0.5280,8.019
./aggregated_raw_prediction/baseline/,class 4,0.1173,1.668,1.550,0.02735,1.601,7.326
./aggregated_raw_prediction/baseline/,class 5,0.07048,0.7413,0.6709,0.01629,0.6996,10.08
./aggregated_raw_prediction/baseline/,class 6,0.07801,1.310,1.232,0.01858,1.278,6.102
./aggregated_raw_prediction/baseline/,class 7,0.04032,0.7778,0.7375,0.008740,0.7655,5.267
./aggregated_raw_prediction/baseline/,class 8,0.06373,1.208,1.145,0.01423,1.175,5.424
./aggregated_raw_prediction/baseline/,class 9,0.03486,0.8736,0.8387,0.008368,0.8577,4.064
./aggregated_raw_prediction/baseline/,overall,0.01347,1.060,1.046,0.003089,1.054,1.278
./aggregated_raw_prediction/domain-discriminative/Max-of-prob-prior-shift/,class 0,0.05569,1.140,1.085,0.01439,1.110,5.017
./aggregated_raw_prediction/domain-discriminative/Max-of-prob-prior-shift/,class 1,0.02791,0.9764,0.9484,0.007170,0.9620,2.901
./aggregated_raw_prediction/domain-discriminative/Max-of-prob-prior-shift/,class 2,0.09034,1.338,1.248,0.02548,1.290,7.005
./aggregated_raw_prediction/domain-discriminative/Max-of-prob-prior-shift/,class 3,0.05268,0.7102,0.6575,0.01476,0.6845,7.697
./aggregated_raw_prediction/domain-discriminative/Max-of-prob-prior-shift/,class 4,0.07375,1.307,1.233,0.02053,1.273,5.795
./aggregated_raw_prediction/domain-discriminative/Max-of-prob-prior-shift/,class 5,0.05431,0.8439,0.7896,0.01396,0.8213,6.612
./aggregated_raw_prediction/domain-discriminative/Max-of-prob-prior-shift/,class 6,0.06160,1.177,1.116,0.01406,1.138,5.413
./aggregated_raw_prediction/domain-discriminative/Max-of-prob-prior-shift/,class 7,0.04573,0.8895,0.8438,0.01037,0.8692,5.260
./aggregated_raw_prediction/domain-discriminative/Max-of-prob-prior-shift/,class 8,0.03690,1.090,1.053,0.009553,1.072,3.443
./aggregated_raw_prediction/domain-discriminative/Max-of-prob-prior-shift/,class 9,0.04094,0.9503,0.9094,0.008869,0.9295,4.405
./aggregated_raw_prediction/domain-discriminative/Max-of-prob-prior-shift/,overall,0.005701,1.017,1.012,0.001420,1.015,0.5618
./aggregated_raw_prediction/domain-discriminative/Sum-of-prob-no-prior-shift/,class 0,0.07668,1.308,1.232,0.01813,1.275,6.013
./aggregated_raw_prediction/domain-discriminative/Sum-of-prob-no-prior-shift/,class 1,0.03342,0.9074,0.8739,0.007931,0.8890,3.759
./aggregated_raw_prediction/domain-discriminative/Sum-of-prob-no-prior-shift/,class 2,0.1795,1.733,1.554,0.03939,1.635,10.98
./aggregated_raw_prediction/domain-discriminative/Sum-of-prob-no-prior-shift/,class 3,0.05234,0.4893,0.4369,0.01294,0.4657,11.24
