,,max_diff,max,min,std_dev,mean,rel_maxdiff(%)
./aggregated_raw_prediction/baseline/,class 0,0.002150,0.006900,0.004750,0.0005028,0.005669,37.93
./aggregated_raw_prediction/baseline/,class 1,0.001150,0.002900,0.001750,0.0002955,0.002378,48.36
./aggregated_raw_prediction/baseline/,class 2,0.003750,0.01405,0.01030,0.0007817,0.01231,30.47
./aggregated_raw_prediction/baseline/,class 3,0.004300,0.02130,0.01700,0.0009661,0.01963,21.91
./aggregated_raw_prediction/baseline/,class 4,0.002800,0.01650,0.01370,0.0007535,0.01474,18.99
./aggregated_raw_prediction/baseline/,class 5,0.003800,0.01040,0.006600,0.0007450,0.008172,46.50
./aggregated_raw_prediction/baseline/,class 6,0.002050,0.008100,0.006050,0.0005142,0.007172,28.58
./aggregated_raw_prediction/baseline/,class 7,0.001800,0.007200,0.005400,0.0004638,0.006183,29.11
./aggregated_raw_prediction/baseline/,class 8,0.001850,0.005800,0.003950,0.0004526,0.004827,38.33
./aggregated_raw_prediction/baseline/,class 9,0.001900,0.005200,0.003300,0.0004204,0.004253,44.67
./aggregated_raw_prediction/baseline/,overall,0.0009300,0.009125,0.008195,0.0002334,0.008533,10.90
./aggregated_raw_prediction/domain-discriminative/Max-of-prob-prior-shift/,class 0,0.001750,0.004100,0.002350,0.0004524,0.003250,53.85
./aggregated_raw_prediction/domain-discriminative/Max-of-prob-prior-shift/,class 1,0.001100,0.001350,0.0002500,0.0002374,0.0006938,158.6
./aggregated_raw_prediction/domain-discriminative/Max-of-prob-prior-shift/,class 2,0.002650,0.01005,0.007400,0.0006642,0.008489,31.22
./aggregated_raw_prediction/domain-discriminative/Max-of-prob-prior-shift/,class 3,0.003200,0.01130,0.008100,0.0008337,0.009867,32.43
./aggregated_raw_prediction/domain-discriminative/Max-of-prob-prior-shift/,class 4,0.002200,0.009350,0.007150,0.0006220,0.008266,26.62
