,,max_diff,max,min,std_dev,mean,rel_maxdiff(%)
./aggregated_raw_prediction/baseline/,class 0,0.0005400,0.002210,0.001670,0.0001303,0.001948,27.72
./aggregated_raw_prediction/baseline/,class 1,0.0004000,0.001140,0.0007400,0.00008033,0.0009409,42.51
./aggregated_raw_prediction/baseline/,class 2,0.0009500,0.004420,0.003470,0.0002023,0.003978,23.88
./aggregated_raw_prediction/baseline/,class 3,0.0009600,0.006870,0.005910,0.0002233,0.006395,15.01
./aggregated_raw_prediction/baseline/,class 4,0.0006400,0.005240,0.004600,0.0001752,0.004811,13.30
./aggregated_raw_prediction/baseline/,class 5,0.0008900,0.003730,0.002840,0.0002080,0.003367,26.44
./aggregated_raw_prediction/baseline/,class 6,0.0006200,0.002690,0.002070,0.0001450,0.002448,25.32
./aggregated_raw_prediction/baseline/,class 7,0.0005100,0.002930,0.002420,0.0001113,0.002576,19.80
./aggregated_raw_prediction/baseline/,class 8,0.0005500,0.001920,0.001370,0.0001235,0.001623,33.89
./aggregated_raw_prediction/baseline/,class 9,0.0003900,0.001740,0.001350,0.00009865,0.001529,25.50
./aggregated_raw_prediction/baseline/,overall,0.0002820,0.003124,0.002842,0.00007345,0.002962,9.522
./aggregated_raw_prediction/domain-discriminative/Max-of-prob-prior-shift/,class 0,0.0005000,0.001330,0.0008300,0.0001292,0.001051,47.59
./aggregated_raw_prediction/domain-discriminative/Max-of-prob-prior-shift/,class 1,0.0002900,0.0005300,0.0002400,0.00007400,0.0003884,74.66
./aggregated_raw_prediction/domain-discriminative/Max-of-prob-prior-shift/,class 2,0.0007100,0.002910,0.002200,0.0001994,0.002524,28.13
./aggregated_raw_prediction/domain-discriminative/Max-of-prob-prior-shift/,class 3,0.0007800,0.004110,0.003330,0.0002166,0.003737,20.87
./aggregated_raw_prediction/domain-discriminative/Max-of-prob-prior-shift/,class 4,0.0005800,0.002750,0.002170,0.0001701,0.002505,23.15
./aggregated_raw_prediction/domain-discriminative/Max-of-prob-prior-shift/,class 5,0.0006200,0.002230,0.001610,0.0001592,0.001878,33.01
./aggregated_raw_prediction/domain-discriminative/Max-of-prob-prior-shift/,class 6,0.0005500,0.001650,0.001100,0.0001240,0.001310,41.98
./aggregated_raw_prediction/domain-discriminative/Max-of-prob-prior-shift/,class 7,0.0005000,0.001640,0.001140,0.0001129,0.001358,36.82
./aggregated_raw_prediction/domain-discriminative/Max-of-prob-prior-shift/,class 8,0.0003500,0.0008700,0.0005200,0.00008988,0.0006997,50.02
./aggregated_raw_prediction/domain-discriminative/Max-of-prob-prior-shift/,class 9,0.0004400,0.0009500,0.0005100,0.00009597,0.0007278,60.46
./aggregated_raw_prediction/domain-discriminative/Max-of-prob-prior-shift/,overall,0.0002100,0.001728,0.001518,0.00005867,0.001618,12.98
./aggregated_raw_prediction/domain-discriminative/Sum-of-prob-no-prior-shift/,class 0,0.0006200,0.002680,0.002060,0.0001390,0.002417,25.65
./aggregated_raw_prediction/domain-discriminative/Sum-of-prob-no-prior-shift/,class 1,0.0003600,0.001330,0.0009700,0.00008624,0.001173,30.70
./aggregated_raw_prediction/domain-discriminative/Sum-of-prob-no-prior-shift/,class 2,0.001270,0.005530,0.004260,0.0002580,0.004814,26.38
./aggregated_raw_prediction/domain-discriminative/Sum-of-prob-no-prior-shift/,class 3,0.001090,0.007990,0.006900,0.0002934,0.007478,14.58
./aggregated_raw_prediction/domain-discriminative/Sum-of-prob-no-prior-shift/,class 4,0.0009100,0.005790,0.004880,0.0002282,0.005303,17.16
./aggregated_raw_prediction/domain-discriminative/Sum-of-prob-no-prior-shift/,class 5,0.0008000,0.004220,0.003420,0.0002073,0.003850,20.78
./aggregated_raw_prediction/domain-discriminative/Sum-of-prob-no-prior-shift/,class 6,0.0006900,0.003280,0.002590,0.0001697,0.002836,24.33
./aggregated_raw_prediction/domain-discriminative/Sum-of-prob-no-prior-shift/,class 7,0.0005100,0.003180,0.002670,0.0001474,0.002956,17.25
./aggregated_raw_prediction/domain-discriminative/Sum-of-prob-no-prior-shift/,class 8,0.0004800,0.002170,0.001690,0.0001249,0.001957,24.52
./aggregated_raw_prediction/domain-discriminative/Sum-of-prob-no-prior-shift/,class 9,0.0007100,0.002220,0.001510,0.0001358,0.001871,37.94
./aggregated_raw_prediction/domain-discriminative/Sum-of-prob-no-prior-shift/,overall,0.0003680,0.003662,0.003294,0.00009821,0.003466,10.62
./aggregated_raw_prediction/domain-discriminative/Sum-of-prob-prior-shift/,class 0,0.0004900,0.001330,0.0008400,0.0001263,0.001058,46.32
./aggregated_raw_prediction/domain-discriminative/Sum-of-prob-prior-shift/,class 1,0.0002800,0.0005200,0.0002400,0.00007631,0.0003887,72.03
./aggregated_raw_prediction/domain-discriminative/Sum-of-prob-prior-shift/,class 2,0.0007100,0.002910,0.002200,0.0002031,0.002517,28.21
./aggregated_raw_prediction/domain-discriminative/Sum-of-prob-prior-shift/,class 3,0.0008000,0.004110,0.003310,0.0002215,0.003724,21.48
./aggregated_raw_prediction/domain-discriminative/Sum-of-prob-prior-shift/,class 4,0.0005600,0.002750,0.002190,0.0001668,0.002508,22.32
./aggregated_raw_prediction/domain-discriminative/Sum-of-prob-prior-shift/,class 5,0.0006000,0.002220,0.001620,0.0001570,0.001888,31.78
./aggregated_raw_prediction/domain-discriminative/Sum-of-prob-prior-shift/,class 6,0.0005300,0.001630,0.001100,0.0001235,0.001306,40.59
./aggregated_raw_prediction/domain-discriminative/Sum-of-prob-prior-shift/,class 7,0.0005100,0.001650,0.001140,0.0001156,0.001357,37.59
