,,max_diff,max,min,std_dev,mean,rel_maxdiff(%)
./aggregated_raw_prediction/baseline/,class 0,0.002700,0.01105,0.008350,0.0006516,0.009739,27.72
./aggregated_raw_prediction/baseline/,class 1,0.002000,0.005700,0.003700,0.0004016,0.004705,42.51
./aggregated_raw_prediction/baseline/,class 2,0.004750,0.02210,0.01735,0.001012,0.01989,23.88
./aggregated_raw_prediction/baseline/,class 3,0.004800,0.03435,0.02955,0.001117,0.03198,15.01
./aggregated_raw_prediction/baseline/,class 4,0.003200,0.02620,0.02300,0.0008761,0.02405,13.30
./aggregated_raw_prediction/baseline/,class 5,0.004450,0.01865,0.01420,0.001040,0.01683,26.44
./aggregated_raw_prediction/baseline/,class 6,0.003100,0.01345,0.01035,0.0007251,0.01224,25.32
./aggregated_raw_prediction/baseline/,class 7,0.002550,0.01465,0.01210,0.0005566,0.01288,19.80
./aggregated_raw_prediction/baseline/,class 8,0.002750,0.009600,0.006850,0.0006175,0.008116,33.89
./aggregated_raw_prediction/baseline/,class 9,0.001950,0.008700,0.006750,0.0004932,0.007647,25.50
./aggregated_raw_prediction/baseline/,overall,0.001410,0.01562,0.01421,0.0003672,0.01481,9.522
./aggregated_raw_prediction/domain-discriminative/Max-of-prob-prior-shift/,class 0,0.002500,0.006650,0.004150,0.0006461,0.005253,47.59
./aggregated_raw_prediction/domain-discriminative/Max-of-prob-prior-shift/,class 1,0.001450,0.002650,0.001200,0.0003700,0.001942,74.66
./aggregated_raw_prediction/domain-discriminative/Max-of-prob-prior-shift/,class 2,0.003550,0.01455,0.01100,0.0009968,0.01262,28.13
./aggregated_raw_prediction/domain-discriminative/Max-of-prob-prior-shift/,class 3,0.003900,0.02055,0.01665,0.001083,0.01869,20.87
./aggregated_raw_prediction/domain-discriminative/Max-of-prob-prior-shift/,class 4,0.002900,0.01375,0.01085,0.0008505,0.01253,23.15
./aggregated_raw_prediction/domain-discriminative/Max-of-prob-prior-shift/,class 5,0.003100,0.01115,0.008050,0.0007959,0.009391,33.01
./aggregated_raw_prediction/domain-discriminative/Max-of-prob-prior-shift/,class 6,0.002750,0.008250,0.005500,0.0006201,0.006550,41.98
./aggregated_raw_prediction/domain-discriminative/Max-of-prob-prior-shift/,class 7,0.002500,0.008200,0.005700,0.0005644,0.006789,36.82
./aggregated_raw_prediction/domain-discriminative/Max-of-prob-prior-shift/,class 8,0.001750,0.004350,0.002600,0.0004494,0.003498,50.02
./aggregated_raw_prediction/domain-discriminative/Max-of-prob-prior-shift/,class 9,0.002200,0.004750,0.002550,0.0004799,0.003639,60.46
./aggregated_raw_prediction/domain-discriminative/Max-of-prob-prior-shift/,overall,0.001050,0.008640,0.007590,0.0002933,0.008090,12.98
./aggregated_raw_prediction/domain-discriminative/Sum-of-prob-no-prior-shift/,class 0,0.003100,0.01340,0.01030,0.0006951,0.01209,25.65
