Conf,Title,Link
AAAI2020,A Bias Trick for Centered Robust Principal Component Analysis (Student Abstract).,https://aaai.org/ojs/index.php/AAAI/article/view/7175
AAAI2020,A Causal Inference Method for Reducing Gender Bias in Word Embedding Relations.,https://aaai.org/ojs/index.php/AAAI/article/view/6486
AAAI2020,A General Approach to Fairness with Optimal Transport.,https://aaai.org/ojs/index.php/AAAI/article/view/5771
AAAI2020,A General Framework for Implicit and Explicit Debiasing of Distributional Word Vector Spaces.,https://aaai.org/ojs/index.php/AAAI/article/view/6325
AAAI2020,A Knowledge-Aware Attentional Reasoning Network for Recommendation.,https://aaai.org/ojs/index.php/AAAI/article/view/6184
AAAI2020,A Novel Model for Imbalanced Data Classification.,https://aaai.org/ojs/index.php/AAAI/article/view/6145
AAAI2020,AI Trust in Business Processes - The Need for Process-Aware Explanations.,https://aaai.org/ojs/index.php/AAAI/article/view/7056
AAAI2020,ASAP - Adaptive Structure Aware Pooling for Learning Hierarchical Graph Representations.,https://aaai.org/ojs/index.php/AAAI/article/view/5997
AAAI2020,Accurate Temporal Action Proposal Generation with Relation-Aware Pyramid Network.,https://aaai.org/ojs/index.php/AAAI/article/view/6711
AAAI2020,Achieving Fairness in the Stochastic Multi-Armed Bandit Problem.,https://aaai.org/ojs/index.php/AAAI/article/view/5986
AAAI2020,Actionable Ethics through Neural Learning.,https://aaai.org/ojs/index.php/AAAI/article/view/6005
AAAI2020,Algorithmic Bias in Recidivism Prediction - A Causal Perspective (Student Abstract).,https://aaai.org/ojs/index.php/AAAI/article/view/7192
AAAI2020,An Experimental Ethics Approach to Robot Ethics Education.,https://aaai.org/ojs/index.php/AAAI/article/view/7067
AAAI2020,An Information-Theoretic Quantification of Discrimination with Exempt Features.,https://aaai.org/ojs/index.php/AAAI/article/view/5794
AAAI2020,An Iterative Polishing Framework Based on Quality Aware Masked Language Model for Chinese Poetry Generation.,https://aaai.org/ojs/index.php/AAAI/article/view/6265
AAAI2020,Aspect-Aware Multimodal Summarization for Chinese E-Commerce Products.,https://aaai.org/ojs/index.php/AAAI/article/view/6332
AAAI2020,Assessing Ethical Thinking about AI.,https://aaai.org/ojs/index.php/AAAI/article/view/7075
AAAI2020,Attention-Based View Selection Networks for Light-Field Disparity Estimation.,https://aaai.org/ojs/index.php/AAAI/article/view/6888
AAAI2020,Attention-over-Attention Field-Aware Factorization Machine.,https://aaai.org/ojs/index.php/AAAI/article/view/6101
AAAI2020,AutoShrink - A Topology-Aware NAS for Discovering Efficient Neural Architecture.,https://aaai.org/ojs/index.php/AAAI/article/view/6163
AAAI2020,Automatically Neutralizing Subjective Bias in Text.,https://aaai.org/ojs/index.php/AAAI/article/view/5385
AAAI2020,Balancing Quality and Human Involvement - An Effective Approach to Interactive Neural Machine Translation.,https://aaai.org/ojs/index.php/AAAI/article/view/6514
AAAI2020,Balancing Spreads of Influence in a Social Network.,https://aaai.org/ojs/index.php/AAAI/article/view/5327
AAAI2020,Balancing the Tradeoff between Profit and Fairness in Rideshare Platforms during High-Demand Hours.,https://aaai.org/ojs/index.php/AAAI/article/view/5597
AAAI2020,Bursting the Filter Bubble - Fairness-Aware Network Link Prediction.,https://aaai.org/ojs/index.php/AAAI/article/view/5429
