Conf,Title,Link
ASE2020,A Program Verification based Approach to Find Data Race Vulnerabilities in Interrupt-driven Program.,https://doi.org/10.1145/3324884.3418925
ASE2020,BUILDFAST - History-Aware Build Outcome Prediction for Fast Feedback and Reduced Cost in Continuous Integration.,https://doi.org/10.1145/3324884.3416616
ASE2020,Cats Are Not Fish - Deep Learning Testing Calls for Out-Of-Distribution Awareness.,https://doi.org/10.1145/3324884.3416609
ASE2020,Making Fair ML Software using Trustworthy Explanation.,https://doi.org/10.1145/3324884.3418932
ASE2020,Managing App Testing Device Clouds - Issues and Opportunities.,https://doi.org/10.1145/3324884.3418909
ASE2020,MinerRay - Semantics-Aware Analysis for Ever-Evolving Cryptojacking Detection.,https://doi.org/10.1145/3324884.3416580
ASE2020,OCoR - An Overlapping-Aware Code Retriever.,https://doi.org/10.1145/3324884.3416530
ASE2020,Problems and Opportunities in Training Deep Learning Software Systems - An Analysis of Variance.,https://doi.org/10.1145/3324884.3416545
ASE2020,SADT - Syntax-Aware Differential Testing of Certificate Validation in SSL/TLS Implementations.,https://doi.org/10.1145/3324884.3416552
ASE2020,Subdomain-Based Generality-Aware Debloating.,https://doi.org/10.1145/3324884.3416644
ASE2020,Trace-Checking Signal-based Temporal Properties - A Model-Driven Approach.,https://doi.org/10.1145/3324884.3416631
ASE2020,Zeror - Speed Up Fuzzing with Coverage-sensitive Tracing and Scheduling.,https://doi.org/10.1145/3324884.3416572
ASE2019,An Industrial Experience Report on Performance-Aware Refactoring on a Database-Centric Web Application.,https://doi.org/10.1109/ASE.2019.00066
ASE2019,Feature-Interaction Aware Configuration Prioritization for Configurable Code.,https://doi.org/10.1109/ASE.2019.00053
ASE2019,PTracer - A Linux Kernel Patch Trace Bot.,https://doi.org/10.1109/ASE.2019.00140
ASE2019,Root Cause Localization for Unreproducible Builds via Causality Analysis Over System Call Tracing.,https://doi.org/10.1109/ASE.2019.00056
ASE2019,SCMiner - Localizing System-Level Concurrency Faults from Large System Call Traces.,https://doi.org/10.1109/ASE.2019.00055
ASE2019,User Preference Aware Multimedia Pricing Model using Game Theory and Prospect Theory for Wireless Communications.,https://doi.org/10.1109/ASE.2019.00157
ASE2018,Automated directed fairness testing.,https://doi.org/10.1145/3238147.3238165
ASE2018,Empirically assessing opportunities for prefetching and caching in mobile apps.,https://doi.org/10.1145/3238147.3238215
ASE2018,Estimating the number of remaining links in traceability recovery (journal-first abstract).,https://doi.org/10.1145/3238147.3241982
ASE2018,FairFuzz - a targeted mutation strategy for increasing greybox fuzz testing coverage.,https://doi.org/10.1145/3238147.3238176
ASE2018,S-gram - towards semantic-aware security auditing for Ethereum smart contracts.,https://doi.org/10.1145/3238147.3240728
ASE2018,The need for context in software engineering (IEEE CS Harlan Mills award keynote).,https://doi.org/10.1145/3238147.3241987
ASE2018,code_call_lens - raising the developer awareness of critical code.,https://doi.org/10.1145/3238147.3240488
ASE2017,Are developers aware of the architectural impact of their changes?,https://doi.org/10.1109/ASE.2017.8115622
ASE2017,Context-aware integrated development environment command recommender systems.,https://doi.org/10.1109/ASE.2017.8115679
ASE2017,Privacy-aware data-intensive applications.,https://doi.org/10.1109/ASE.2017.8115726
ASE2017,TREM - a tool for mining timed regular specifications from system traces.,https://doi.org/10.1109/ASE.2017.8115702
ASE2017,Towards a software vulnerability prediction model using traceable code patterns and software metrics.,https://doi.org/10.1109/ASE.2017.8115724
ASE2017,Towards robust instruction-level trace alignment of binary code.,https://doi.org/10.1109/ASE.2017.8115647
ASE2017,Towards the automatic classification of traceability links.,https://doi.org/10.1109/ASE.2017.8115723
ASE2017,TrEKer - tracing error propagation in operating system kernels.,https://doi.org/10.1109/ASE.2017.8115650
ASE2016,An empirical study on dependence clusters for effort-aware fault-proneness prediction.,https://doi.org/10.1145/2970276.2970353
ASE2016,Battery-aware transformations in mobile applications.,https://doi.org/10.1145/2970276.2970324
ASE2016,Radius aware probabilistic testing of deadlocks with guarantees.,https://doi.org/10.1145/2970276.2970307
ASE2016,Reflection-aware static analysis of Android apps.,https://doi.org/10.1145/2970276.2970277
ASE2016,Static race detection for device drivers - the Goblint approach.,https://doi.org/10.1145/2970276.2970337
ASE2016,Traceability maintenance - factors and guidelines.,https://doi.org/10.1145/2970276.2970314
