Conf,Title,Link
FSE2020,Adapting bug prediction models to predict reverted commits at Wayfair.,https://doi.org/10.1145/3368089.3417062
FSE2020,"Biases and differences in code review using medical imaging and eye-tracking - genders, humans, and machines.",https://doi.org/10.1145/3368089.3409681
FSE2020,Do the machine learning models on a crowd sourced platform exhibit bias? an empirical study on model fairness.,https://doi.org/10.1145/3368089.3409704
FSE2020,Effort-aware just-in-time defect identification in practice - a case study at Alibaba.,https://doi.org/10.1145/3368089.3417048
FSE2020,Fairway - a way to build fair ML software.,https://doi.org/10.1145/3368089.3409697
FSE2020,Graph-based trace analysis for microservice architecture understanding and problem diagnosis.,https://doi.org/10.1145/3368089.3417066
FSE2020,"Interactive, effort-aware library version harmonization.",https://doi.org/10.1145/3368089.3409689
FSE2020,Reducing implicit gender biases in software development - does intergroup contact theory work?,https://doi.org/10.1145/3368089.3409762
FSE2020,Repairing confusion and bias errors for DNN-based image classifiers.,https://doi.org/10.1145/3368089.3418776
FSE2020,Towards automated verification of smart contract fairness.,https://doi.org/10.1145/3368089.3409740
FSE2019,Black box fairness testing of machine learning models.,https://doi.org/10.1145/3338906.3338937
FSE2019,Cerebro - context-aware adaptive fuzzing for effective vulnerability detection.,https://doi.org/10.1145/3338906.3338975
FSE2019,Context-aware test case adaptation.,https://doi.org/10.1145/3338906.3342510
FSE2019,Eagle - a team practices audit framework for agile software development.,https://doi.org/10.1145/3338906.3341181
FSE2019,Effects of explicit feature traceability on program comprehension.,https://doi.org/10.1145/3338906.3338968
FSE2019,Event trace reduction for effective bug replay of Android apps via differential GUI state analysis.,https://doi.org/10.1145/3338906.3341183
FSE2019,File tracing by intercepting disk requests.,https://doi.org/10.1145/3338906.3342485
FSE2019,Identifying the most valuable developers using artifact traceability graphs.,https://doi.org/10.1145/3338906.3342487
FSE2019,Latent error prediction and fault localization for microservice applications by learning from system trace logs.,https://doi.org/10.1145/3338906.3338961
FSE2019,Monitoring-aware IDEs.,https://doi.org/10.1145/3338906.3338926
FSE2019,Suggesting reviewers of software artifacts using traceability graphs.,https://doi.org/10.1145/3338906.3342507
FSE2018,Automated patch extraction via syntax- and semantics-aware Delta debugging on source code changes.,https://doi.org/10.1145/3236024.3236047
FSE2018,Code vectors - understanding programs through embedded abstracted symbolic traces.,https://doi.org/10.1145/3236024.3236085
FSE2018,Data race detection on compressed traces.,https://doi.org/10.1145/3236024.3236025
FSE2018,Does ACM&apos;s code of ethics change ethical decision making in software development?,https://doi.org/10.1145/3236024.3264833
FSE2018,Feature-interaction aware configuration prioritization.,https://doi.org/10.1145/3236024.3275437
FSE2018,Improving IR-based bug localization with context-aware query reformulation.,https://doi.org/10.1145/3236024.3236065
FSE2018,Practical AJAX race detection for JavaScript web applications.,https://doi.org/10.1145/3236024.3236038
