Conf,Title,Link
ICML2020,A Pairwise Fair and Community-preserving Approach to k-Center Clustering.,http://proceedings.mlr.press/v119/brubach20a.html
ICML2020,AR-DAE - Towards Unbiased Neural Entropy Gradient Estimation.,http://proceedings.mlr.press/v119/lim20a.html
ICML2020,Adversarial Filters of Dataset Biases.,http://proceedings.mlr.press/v119/bras20a.html
ICML2020,Balancing Competing Objectives with Noisy Data - Score-Based Classifiers for Welfare-Aware Machine Learning.,http://proceedings.mlr.press/v119/rolf20a.html
ICML2020,Bounding the fairness and accuracy of classifiers from population statistics.,http://proceedings.mlr.press/v119/sabato20a.html
ICML2020,Causal Modeling for Fairness In Dynamical Systems.,http://proceedings.mlr.press/v119/creager20a.html
ICML2020,Collaborative Machine Learning with Incentive-Aware Model Rewards.,http://proceedings.mlr.press/v119/sim20a.html
ICML2020,ConQUR - Mitigating Delusional Bias in Deep Q-Learning.,http://proceedings.mlr.press/v119/su20c.html
ICML2020,Confidence-Aware Learning for Deep Neural Networks.,http://proceedings.mlr.press/v119/moon20a.html
ICML2020,Context Aware Local Differential Privacy.,http://proceedings.mlr.press/v119/acharya20a.html
ICML2020,Context-aware Dynamics Model for Generalization in Model-Based Reinforcement Learning.,http://proceedings.mlr.press/v119/lee20g.html
ICML2020,Controlling Overestimation Bias with Truncated Mixture of Continuous Distributional Quantile Critics.,http://proceedings.mlr.press/v119/kuznetsov20a.html
ICML2020,Data Amplification - Instance-Optimal Property Estimation.,http://proceedings.mlr.press/v119/hao20a.html
ICML2020,Data preprocessing to mitigate bias - A maximum entropy based approach.,http://proceedings.mlr.press/v119/celis20a.html
ICML2020,DeBayes - a Bayesian Method for Debiasing Network Embeddings.,http://proceedings.mlr.press/v119/buyl20a.html
ICML2020,Debiased Sinkhorn barycenters.,http://proceedings.mlr.press/v119/janati20a.html
ICML2020,DeepMatch - Balancing Deep Covariate Representations for Causal Inference Using Adversarial Training.,http://proceedings.mlr.press/v119/kallus20a.html
ICML2020,Discriminative Adversarial Search for Abstractive Summarization.,http://proceedings.mlr.press/v119/scialom20a.html
ICML2020,Discriminative Jackknife - Quantifying Uncertainty in Deep Learning via Higher-Order Influence Functions.,http://proceedings.mlr.press/v119/alaa20a.html
ICML2020,Double Trouble in Double Descent - Bias and Variance(s) in the Lazy Regime.,http://proceedings.mlr.press/v119/d-ascoli20a.html
ICML2020,"Efficient Robustness Certificates for Discrete Data - Sparsity-Aware Randomized Smoothing for Graphs, Images and More.",http://proceedings.mlr.press/v119/bojchevski20a.html
ICML2020,Explainable and Discourse Topic-aware Neural Language Understanding.,http://proceedings.mlr.press/v119/chaudhary20a.html
ICML2020,Exploration Through Reward Biasing - Reward-Biased Maximum Likelihood Estimation for Stochastic Multi-Armed Bandits.,http://proceedings.mlr.press/v119/liu20g.html
ICML2020,FACT - A Diagnostic for Group Fairness Trade-offs.,http://proceedings.mlr.press/v119/kim20a.html
ICML2020,FR-Train - A Mutual Information-Based Approach to Fair and Robust Training.,http://proceedings.mlr.press/v119/roh20a.html
ICML2020,Fair Generative Modeling via Weak Supervision.,http://proceedings.mlr.press/v119/choi20a.html
ICML2020,Fair Learning with Private Demographic Data.,http://proceedings.mlr.press/v119/mozannar20a.html
ICML2020,Fair k-Centers via Maximum Matching.,http://proceedings.mlr.press/v119/jones20a.html
ICML2020,Fairwashing explanations with off-manifold detergent.,http://proceedings.mlr.press/v119/anders20a.html
ICML2020,Frequency Bias in Neural Networks for Input of Non-Uniform Density.,http://proceedings.mlr.press/v119/basri20a.html
ICML2020,Goal-Aware Prediction - Learning to Model What Matters.,http://proceedings.mlr.press/v119/nair20a.html
ICML2020,How to Solve Fair k-Center in Massive Data Models.,http://proceedings.mlr.press/v119/chiplunkar20a.html
ICML2020,Identifying Statistical Bias in Dataset Replication.,http://proceedings.mlr.press/v119/engstrom20a.html
ICML2020,Individual Fairness for k-Clustering.,http://proceedings.mlr.press/v119/mahabadi20a.html
ICML2020,Inductive-bias-driven Reinforcement Learning For Efficient Schedules in Heterogeneous Clusters.,http://proceedings.mlr.press/v119/banerjee20a.html
ICML2020,Invertible generative models for inverse problems - mitigating representation error and dataset bias.,http://proceedings.mlr.press/v119/asim20a.html
ICML2020,Is There a Trade-Off Between Fairness and Accuracy? A Perspective Using Mismatched Hypothesis Testing.,http://proceedings.mlr.press/v119/dutta20a.html
ICML2020,Learning De-biased Representations with Biased Representations.,http://proceedings.mlr.press/v119/bahng20a.html
ICML2020,Learning Fair Policies in Multi-Objective (Deep) Reinforcement Learning with Average and Discounted Rewards.,http://proceedings.mlr.press/v119/siddique20a.html
ICML2020,Low Bias Low Variance Gradient Estimates for Boolean Stochastic Networks.,http://proceedings.mlr.press/v119/pervez20a.html
ICML2020,Margin-aware Adversarial Domain Adaptation with Optimal Transport.,http://proceedings.mlr.press/v119/dhouib20b.html
ICML2020,Maximum Likelihood with Bias-Corrected Calibration is Hard-To-Beat at Label Shift Adaptation.,http://proceedings.mlr.press/v119/alexandari20a.html
ICML2020,Measuring Non-Expert Comprehension of Machine Learning Fairness Metrics.,http://proceedings.mlr.press/v119/saha20c.html
ICML2020,Minimax Pareto Fairness - A Multi Objective Perspective.,http://proceedings.mlr.press/v119/martinez20a.html
ICML2020,My Fair Bandit - Distributed Learning of Max-Min Fairness with Multi-player Bandits.,http://proceedings.mlr.press/v119/bistritz20a.html
ICML2020,NADS - Neural Architecture Distribution Search for Uncertainty Awareness.,http://proceedings.mlr.press/v119/ardywibowo20a.html
ICML2020,On Conditional Versus Marginal Bias in Multi-Armed Bandits.,http://proceedings.mlr.press/v119/shin20a.html
ICML2020,On Unbalanced Optimal Transport - An Analysis of Sinkhorn Algorithm.,http://proceedings.mlr.press/v119/pham20a.html
ICML2020,Online Continual Learning from Imbalanced Data.,http://proceedings.mlr.press/v119/chrysakis20a.html
ICML2020,Operation-Aware Soft Channel Pruning using Differentiable Masks.,http://proceedings.mlr.press/v119/kang20a.html
ICML2020,Partial Trace Regression and Low-Rank Kraus Decomposition.,http://proceedings.mlr.press/v119/kadri20a.html
ICML2020,Radioactive data - tracing through training.,http://proceedings.mlr.press/v119/sablayrolles20a.html
ICML2020,Rethinking Bias-Variance Trade-off for Generalization of Neural Networks.,http://proceedings.mlr.press/v119/yang20j.html
ICML2020,Sample Amplification - Increasing Dataset Size even when Learning is Impossible.,http://proceedings.mlr.press/v119/axelrod20a.html
ICML2020,Time-aware Large Kernel Convolutions.,http://proceedings.mlr.press/v119/lioutas20a.html
ICML2020,Too Relaxed to Be Fair.,http://proceedings.mlr.press/v119/lohaus20a.html
ICML2020,Two Simple Ways to Learn Individual Fairness Metrics from Data.,http://proceedings.mlr.press/v119/mukherjee20a.html
ICML2020,Unbiased Risk Estimators Can Mislead - A Case Study of Learning with Complementary Labels.,http://proceedings.mlr.press/v119/chou20a.html
ICML2020,Uncertainty-Aware Lookahead Factor Models for Quantitative Investing.,http://proceedings.mlr.press/v119/chauhan20a.html
ICML2019,Active Learning for Decision-Making from Imbalanced Observational Data.,http://proceedings.mlr.press/v97/sundin19a.html
ICML2019,Bias Also Matters - Bias Attribution for Deep Neural Network Explanation.,http://proceedings.mlr.press/v97/wang19p.html
ICML2019,Bounding User Contributions - A Bias-Variance Trade-off in Differential Privacy.,http://proceedings.mlr.press/v97/amin19a.html
ICML2019,"Classification from Positive, Unlabeled and Biased Negative Data.",http://proceedings.mlr.press/v97/hsieh19c.html
ICML2019,Compositional Fairness Constraints for Graph Embeddings.,http://proceedings.mlr.press/v97/bose19a.html
ICML2019,Context-Aware Zero-Shot Learning for Object Recognition.,http://proceedings.mlr.press/v97/zablocki19a.html
ICML2019,Differentially Private Fair Learning.,http://proceedings.mlr.press/v97/jagielski19a.html
ICML2019,Discriminative Regularization for Latent Variable Models with Applications to Electrocardiography.,http://proceedings.mlr.press/v97/miller19a.html
ICML2019,Efficient Nonconvex Regularized Tensor Completion with Structure-aware Proximal Iterations.,http://proceedings.mlr.press/v97/yao19a.html
ICML2019,Fair Regression - Quantitative Definitions and Reduction-Based Algorithms.,http://proceedings.mlr.press/v97/agarwal19d.html
ICML2019,Fair k-Center Clustering for Data Summarization.,http://proceedings.mlr.press/v97/kleindessner19a.html
ICML2019,Fairness risk measures.,http://proceedings.mlr.press/v97/williamson19a.html
ICML2019,Fairness without Harm - Decoupled Classifiers with Preference Guarantees.,http://proceedings.mlr.press/v97/ustun19a.html
ICML2019,Fairness-Aware Learning for Continuous Attributes and Treatments.,http://proceedings.mlr.press/v97/mary19a.html
ICML2019,Fairwashing - the risk of rationalization.,http://proceedings.mlr.press/v97/aivodji19a.html
ICML2019,Flexibly Fair Representation Learning by Disentanglement.,http://proceedings.mlr.press/v97/creager19a.html
ICML2019,Geometry Aware Convolutional Filters for Omnidirectional Images Representation.,http://proceedings.mlr.press/v97/khasanova19a.html
ICML2019,Guarantees for Spectral Clustering with Fairness Constraints.,http://proceedings.mlr.press/v97/kleindessner19b.html
ICML2019,Learning Optimal Fair Policies.,http://proceedings.mlr.press/v97/nabi19a.html
