Conf,Title,Link
NIPS2020,A Fair Classifier Using Kernel Density Estimation.,https://proceedings.neurips.cc/paper/2020/hash/ac3870fcad1cfc367825cda0101eee62-Abstract.html
NIPS2020,"A Ranking-based, Balanced Loss Function Unifying Classification and Localisation in Object Detection.",https://proceedings.neurips.cc/paper/2020/hash/b2eeb7362ef83deff5c7813a67e14f0a-Abstract.html
NIPS2020,An Unbiased Risk Estimator for Learning with Augmented Classes.,https://proceedings.neurips.cc/paper/2020/hash/747c1bcceb6109a4ef936bc70cfe67de-Abstract.html
NIPS2020,Auditing Differentially Private Machine Learning - How Private is Private SGD?,https://proceedings.neurips.cc/paper/2020/hash/fc4ddc15f9f4b4b06ef7844d6bb53abf-Abstract.html
NIPS2020,Automatically Learning Compact Quality-aware Surrogates for Optimization Problems.,https://proceedings.neurips.cc/paper/2020/hash/6d0c932802f6953f70eb20931645fa40-Abstract.html
NIPS2020,Balanced Meta-Softmax for Long-Tailed Visual Recognition.,https://proceedings.neurips.cc/paper/2020/hash/2ba61cc3a8f44143e1f2f13b2b729ab3-Abstract.html
NIPS2020,Batch Normalization Biases Residual Blocks Towards the Identity Function in Deep Networks.,https://proceedings.neurips.cc/paper/2020/hash/e6b738eca0e6792ba8a9cbcba6c1881d-Abstract.html
NIPS2020,Bias no more - high-probability data-dependent regret bounds for adversarial bandits and MDPs.,https://proceedings.neurips.cc/paper/2020/hash/b2ea5e977c5fc1ccfa74171a9723dd61-Abstract.html
NIPS2020,Biased Stochastic First-Order Methods for Conditional Stochastic Optimization and Applications in Meta Learning.,https://proceedings.neurips.cc/paper/2020/hash/1cdf14d1e3699d61d237cf76ce1c2dca-Abstract.html
NIPS2020,BlockGAN - Learning 3D Object-aware Scene Representations from Unlabelled Images.,https://proceedings.neurips.cc/paper/2020/hash/4b29fa4efe4fb7bc667c7b301b74d52d-Abstract.html
NIPS2020,Can I Trust My Fairness Metric? Assessing Fairness with Unlabeled Data and Bayesian Inference.,https://proceedings.neurips.cc/paper/2020/hash/d83de59e10227072a9c034ce10029c39-Abstract.html
NIPS2020,Can Implicit Bias Explain Generalization? Stochastic Convex Optimization as a Case Study.,https://proceedings.neurips.cc/paper/2020/hash/57cd30d9088b0185cf0ebca1a472ff1d-Abstract.html
NIPS2020,CrossTransformers - spatially-aware few-shot transfer.,https://proceedings.neurips.cc/paper/2020/hash/fa28c6cdf8dd6f41a657c3d7caa5c709-Abstract.html
NIPS2020,Debiased Contrastive Learning.,https://proceedings.neurips.cc/paper/2020/hash/63c3ddcc7b23daa1e42dc41f9a44a873-Abstract.html
NIPS2020,Debiasing Averaged Stochastic Gradient Descent to handle missing values.,https://proceedings.neurips.cc/paper/2020/hash/972ededf6c4d7c1405ef53f27d961eda-Abstract.html
NIPS2020,Debiasing Distributed Second Order Optimization with Surrogate Sketching and Scaled Regularization.,https://proceedings.neurips.cc/paper/2020/hash/4a46fbfca3f1465a27b210f4bdfe6ab3-Abstract.html
NIPS2020,"Demystifying Contrastive Self-Supervised Learning - Invariances, Augmentations and Dataset Biases.",https://proceedings.neurips.cc/paper/2020/hash/22f791da07b0d8a2504c2537c560001c-Abstract.html
NIPS2020,Discovering Symbolic Models from Deep Learning with Inductive Biases.,https://proceedings.neurips.cc/paper/2020/hash/c9f2f917078bd2db12f23c3b413d9cba-Abstract.html
NIPS2020,Discriminative Sounding Objects Localization via Self-supervised Audiovisual Matching.,https://proceedings.neurips.cc/paper/2020/hash/7288251b27c8f0e73f4d7f483b06a785-Abstract.html
NIPS2020,Distribution Aligning Refinery of Pseudo-label for Imbalanced Semi-supervised Learning.,https://proceedings.neurips.cc/paper/2020/hash/a7968b4339a1b85b7dbdb362dc44f9c4-Abstract.html
NIPS2020,Elastic-InfoGAN - Unsupervised Disentangled Representation Learning in Class-Imbalanced Data.,https://proceedings.neurips.cc/paper/2020/hash/d1e39c9bda5c80ac3d8ea9d658163967-Abstract.html
NIPS2020,Ensuring Fairness Beyond the Training Data.,https://proceedings.neurips.cc/paper/2020/hash/d6539d3b57159babf6a72e106beb45bd-Abstract.html
NIPS2020,Entropic Optimal Transport between Unbalanced Gaussian Measures has a Closed Form.,https://proceedings.neurips.cc/paper/2020/hash/766e428d1e232bbdd58664b41346196c-Abstract.html
NIPS2020,Estimating Training Data Influence by Tracing Gradient Descent.,https://proceedings.neurips.cc/paper/2020/hash/e6385d39ec9394f2f3a354d9d2b88eec-Abstract.html
NIPS2020,Exploiting MMD and Sinkhorn Divergences for Fair and Transferable Representation Learning.,https://proceedings.neurips.cc/paper/2020/hash/af9c0e0c1dee63e5acad8b7ed1a5be96-Abstract.html
NIPS2020,Fair Hierarchical Clustering.,https://proceedings.neurips.cc/paper/2020/hash/f10f2da9a238b746d2bac55759915f0d-Abstract.html
NIPS2020,Fair Multiple Decision Making Through Soft Interventions.,https://proceedings.neurips.cc/paper/2020/hash/d0921d442ee91b896ad95059d13df618-Abstract.html
NIPS2020,Fair Performance Metric Elicitation.,https://proceedings.neurips.cc/paper/2020/hash/7ec2442aa04c157590b2fa1a7d093a33-Abstract.html
NIPS2020,Fair regression via plug-in estimator and recalibration with statistical guarantees.,https://proceedings.neurips.cc/paper/2020/hash/ddd808772c035aed516d42ad3559be5f-Abstract.html
NIPS2020,Fair regression with Wasserstein barycenters.,https://proceedings.neurips.cc/paper/2020/hash/51cdbd2611e844ece5d80878eb770436-Abstract.html
NIPS2020,Fairness constraints can help exact inference in structured prediction.,https://proceedings.neurips.cc/paper/2020/hash/8248a99e81e752cb9b41da3fc43fbe7f-Abstract.html
NIPS2020,Fairness in Streaming Submodular Maximization - Algorithms and Hardness.,https://proceedings.neurips.cc/paper/2020/hash/9d752cb08ef466fc480fba981cfa44a1-Abstract.html
NIPS2020,Fairness with Overlapping Groups; a Probabilistic Perspective.,https://proceedings.neurips.cc/paper/2020/hash/29c0605a3bab4229e46723f89cf59d83-Abstract.html
NIPS2020,Fairness without Demographics through Adversarially Reweighted Learning.,https://proceedings.neurips.cc/paper/2020/hash/07fc15c9d169ee48573edd749d25945d-Abstract.html
NIPS2020,Fast Unbalanced Optimal Transport on a Tree.,https://proceedings.neurips.cc/paper/2020/hash/dba31bb5c75992690f20c2d3b370ec7c-Abstract.html
NIPS2020,GRAF - Generative Radiance Fields for 3D-Aware Image Synthesis.,https://proceedings.neurips.cc/paper/2020/hash/e92e1b476bb5262d793fd40931e0ed53-Abstract.html
NIPS2020,GreedyFool - Distortion-Aware Sparse Adversarial Attack.,https://proceedings.neurips.cc/paper/2020/hash/8169e05e2a0debcb15458f2cc1eff0ea-Abstract.html
NIPS2020,Group-Fair Online Allocation in Continuous Time.,https://proceedings.neurips.cc/paper/2020/hash/9ec0cfdc84044494e10582436e013e64-Abstract.html
NIPS2020,HAWQ-V2 - Hessian Aware trace-Weighted Quantization of Neural Networks.,https://proceedings.neurips.cc/paper/2020/hash/d77c703536718b95308130ff2e5cf9ee-Abstract.html
NIPS2020,Hold me tight! Influence of discriminative features on deep network boundaries.,https://proceedings.neurips.cc/paper/2020/hash/1ea97de85eb634d580161c603422437f-Abstract.html
NIPS2020,How do fair decisions fare in long-term qualification?,https://proceedings.neurips.cc/paper/2020/hash/d6d231705f96d5a35aeb3a76402e49a3-Abstract.html
NIPS2020,Identifying Causal-Effect Inference Failure with Uncertainty-Aware Models.,https://proceedings.neurips.cc/paper/2020/hash/860b37e28ec7ba614f00f9246949561d-Abstract.html
NIPS2020,Implicit Bias in Deep Linear Classification - Initialization Scale vs Training Accuracy.,https://proceedings.neurips.cc/paper/2020/hash/fc2022c89b61c76bbef978f1370660bf-Abstract.html
NIPS2020,Input-Aware Dynamic Backdoor Attack.,https://proceedings.neurips.cc/paper/2020/hash/234e691320c0ad5b45ee3c96d0d7b8f8-Abstract.html
NIPS2020,Intra-Processing Methods for Debiasing Neural Networks.,https://proceedings.neurips.cc/paper/2020/hash/1d8d70dddf147d2d92a634817f01b239-Abstract.html
NIPS2020,Investigating Gender Bias in Language Models Using Causal Mediation Analysis.,https://proceedings.neurips.cc/paper/2020/hash/92650b2e92217715fe312e6fa7b90d82-Abstract.html
NIPS2020,KFC - A Scalable Approximation Algorithm for $k$-center Fair Clustering.,https://proceedings.neurips.cc/paper/2020/hash/a6d259bfbfa2062843ef543e21d7ec8e-Abstract.html
NIPS2020,Label-Aware Neural Tangent Kernel - Toward Better Generalization and Local Elasticity.,https://proceedings.neurips.cc/paper/2020/hash/b6b90237b3ebd1e462a5d11dbc5c4dae-Abstract.html
NIPS2020,Learning Certified Individually Fair Representations.,https://proceedings.neurips.cc/paper/2020/hash/55d491cf951b1b920900684d71419282-Abstract.html
NIPS2020,Learning Diverse and Discriminative Representations via the Principle of Maximal Coding Rate Reduction.,https://proceedings.neurips.cc/paper/2020/hash/6ad4174eba19ecb5fed17411a34ff5e6-Abstract.html
NIPS2020,Learning Semantic-aware Normalization for Generative Adversarial Networks.,https://proceedings.neurips.cc/paper/2020/hash/f885a14eaf260d7d9f93c750e1174228-Abstract.html
NIPS2020,Learning Strategy-Aware Linear Classifiers.,https://proceedings.neurips.cc/paper/2020/hash/ae87a54e183c075c494c4d397d126a66-Abstract.html
NIPS2020,Learning from Failure - De-biasing Classifier from Biased Classifier.,https://proceedings.neurips.cc/paper/2020/hash/eddc3427c5d77843c2253f1e799fe933-Abstract.html
NIPS2020,MATE - Plugging in Model Awareness to Task Embedding for Meta Learning.,https://proceedings.neurips.cc/paper/2020/hash/8989e07fc124e7a9bcbdebcc8ace2bc0-Abstract.html
NIPS2020,MESA - Boost Ensemble Imbalanced Learning with MEta-SAmpler.,https://proceedings.neurips.cc/paper/2020/hash/a64bd53139f71961c5c31a9af03d775e-Abstract.html
NIPS2020,Metric-Free Individual Fairness in Online Learning.,https://proceedings.neurips.cc/paper/2020/hash/80b618ebcac7aa97a6dac2ba65cb7e36-Abstract.html
